,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_127', 'y_123']",154,"['979775DA', '97A4A87C', '2CCC1EB1', '2384E4EC', 'C116CF69', '6B8CA017', '58F028EC', '0891C9A5', '840CA15B', 'C0FE0E54', '59379CD5', '5E6335C5', 'B7A6B56B', '53A5F89D', '9B116DD9', '0BB139B0', '5F4B5C01', '3F5893D9', 'CBDE245A', 'EBE9F961', 'C166264C', 'FC8452E9', '1CDEA30D', 'D59F39B4']",149,unconfirmed
creature_1,"['x_126', 'y_112']",10,"['C176264C', '6E34E529', '1D9D954D', 'A1AF99EE', '11326FC2', '5E44D98D', '97A4A97C', '973BF6D0', '0296E9E7', '0296E1E7', '5681FFAB', '9D74F732', '270ECA89', '97A4A87C', 'C02C2223', '236673B9', '2385A6EC', '4CE18C9A', 'F1F7A906', 'C9019255', '0791D25F', '27A0F617', '30476ECB', 'C30AB1E7']",149,unconfirmed
creature_2,"['x_124', 'y_5']",66,"['2BBED0C5', '44A38608', 'B375F8CC', '954DDD9B', '3559BF2F', 'D1331712', '5EDC9C7B', '34434172', '5776F899', '0CD51187', '1D9F954D', '0791D65F', 'FC8452E9', 'CDE17FE4', '55AD4F75', 'D30A33E7', '9D74F752', '8C44D510', 'E50BD852', '59DCE2F1', 'A4F4B1BB', '7BF7CF76', 'C7D85A73', '8AA2D7D7']",149,unconfirmed
creature_3,"['x_126', 'y_85']",135,"['C5729E54', 'D568D830', '03B13DB0', 'F1F7A906', '569DFFAA', '250F85AD', 'F8AE0760', 'B75351DC', 'A39ECA89', 'EC5A3802', 'D59F39F6', '487CD1F7', '977470D5', 'B375F0CC', 'F1F7A906', 'B33FA03B', '3AD40877', '3FD893D9', '4EE1AC9A', 'CAAE3F3F', 'C7F1A952', '820796D1', 'EE3A339C', '71F7A906']",149,unconfirmed
creature_4,"['x_127', 'y_78']",126,"['977450D5', '4F4C567E', '6DA2B10C', 'F67392FA', '44BB06E9', 'D59F39B4', '0634A501', '6975A7E4', '1AB5F2AE', '78C5815C', '1291F3BA', '83D3903C', '0392FAAE', '7592D4C1', '0296E967', '37A2F613', '2A081EEA', '7FF7CF76', 'D59F39B4', 'A20E5111', '26DA34C2', '55D942FC', '83EC130B', 'EE3E339C']",149,unconfirmed
creature_5,"['x_113', 'y_0']",10,"['37593BCA', '0C551187', '5695FFAA', '27A0F613', 'D30A31E5', 'EE3E339C', 'BFFA9053', 'AE7B2532', '324D2562', 'C8019255', 'A3E8030B', '973BFED0', 'C30AB1E7', '75F84FD9', '6961A7E0', '412F1101', 'C8019255', 'C7F1A952', 'ED8FA11D', '5695FFAA', '275933CA', '4AF931E4', '4E93D17E', '55ACBF9B']",149,unconfirmed
creature_6,"['x_127', 'y_45']",157,"['63B5259D', 'C73088AC', '71BB550A', '1B2CB6CB', 'A4F4F0BA', '0BF035B2', '6685F84C', '55BD4F75', 'E1F7A906', 'CEB945A2', 'E50BD852', 'D02C2223', '34434172', '6DA2B10C', '0791D65F', 'B375F8CC', '954DDD9B', '148EED11', '2D93C39E', '5691FFAA', '9D74F712', '7C48D907', '91D97D2F', '375893D9']",149,unconfirmed
creature_7,"['x_127', 'y_110']",10,"['763B6950', '3391CC29', '9B97C94B', '4CBB06E9', '5491CB6E', '275933CA', '4E7DE747', '948EED11', 'F183DA52', '56B5FE2A', '78550260', '673CA9AF', '694CC417', '3391CC61', '250F8525', 'FE3E339C', '0634A501', '3199CC69', '08202D06', 'ABEF8791', '01420254', '1291F3BA', '3F4893D9', 'B7A6B56B']",149,unconfirmed
creature_8,"['x_127', 'y_57']",156,"['3C02B3B4', '3391C669', 'CD42F83E', 'BCBCAA5A', '54378A0D', 'F1F7A906', 'E0A00981', '2EEDDD3F', '7FF7CF72', 'EA9CA5E8', 'C7F1A952', '226663B9', '27A0F613', '07A17AF2', '5B6757B2', '26540AF2', '2D83C39E', '1BEDAE92', '2839854E', '0A891EF3', 'E7A20C37', 'C801D275', '1C501D6D', 'C016EFD3']",149,unconfirmed
creature_9,"['x_88', 'y_0']",17,"['7592D0D1', 'AEEDFD3F', '0A891EF3', '52CE1E68', '74434173', '2C1B7281', 'A02E5797', '5491CA6E', '3F589359', '05F66C15', '0722FC95', '23FCEEB7', '9C31E567', '1A95F2AE', '71BB550A', 'C2E5319E', 'D59F39B4', 'C1368D5A', 'C0126F53', '599DB2DF', 'EA9CA5F8', '1AB5F2AE', '614CC557', 'C2E5319E']",149,unconfirmed
creature_10,"['x_124', 'y_68']",146,"['7FF7CF76', '41FAD1E7', 'A088D078', '614CC517', 'C1368D5A', '4634A501', '5491CA6E', '1A8C422A', 'C919D2EE', 'BFFA905B', 'EBE9F961', '5C91CB6E', '0C57018F', '5776F899', '973BF6D0', '4C007EA5', '52CE1E68', 'C919D2EE', 'BFFA905B', '49DCE2F1', '5B88F697', '0296E9E7', '74434173', 'C8019255']",149,unconfirmed
creature_11,"['x_122', 'y_0']",153,"['C71088A4', 'E0A04981', '9055E340', '3393CD69', 'F1F7A906', 'D59F39F6', 'C3DE245A', '59759CE9', '83D3903C', '03B13DB0', '1291F3BA', 'D568D830', '9B116DD9', 'B2BEBB08', '3720B2D8', '977470D5', 'AE7B253A', 'C5729E54', '3291FBBA', '71F7A906', '14378A0D', '00757FB0', '0A891EF3', '953E2B83']",149,unconfirmed
creature_12,"['x_127', 'y_3']",159,"['657E8442', 'F183DA52', 'A42E5795', '704246F1', '5B88F697', 'B33FA03B', '27F6A044', '614CC517', 'A4894B78', '558EEDAE', '5034A585', '59759CE9', 'FC8452E9', '54C10A4E', 'DF45D98D', '0839C54E', 'FFF7CF76', '6971A3E4', '1BCDAE92', '79284081', '7C89C1FF', 'A1AF99EE', 'E76FD62F', '72CE1E68']",149,unconfirmed
creature_13,"['x_121', 'y_126']",10,"['3D91E568', 'F82E1560', 'D1331702', '28398546', 'D59E3994', '5695FFAB', 'CFB955A2', '2057434D', '0489B863', 'E54481A2', '13C421B1', '0296E9E7', '673CB9AF', 'F0F7A906', '7C6448F3', 'D9759EED', 'DF1D8BDA', 'B94F5E9E', 'CDE17FC4', 'E54481AA', '1296E967', 'B375F0CC', '3391C469', '53A5F89D']",149,unconfirmed
