,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_0', 'y_53']",145,"['965BF174', '29DA6A50', '3C71BEC0', '271D0E01', '235F9AEE', '7202220D', '2A1E1ECA', 'B68B0C87', 'CC12434F', '7E2C29BA', '2AD8AE04', 'E92C7FB4', 'E905D0BD', '5CAAC58A', 'CE4F6C5F', 'FBA7ACCB', 'AD1B9334', 'AB8BB1FB', '23678E6B', '8EDD2BB3', '4EF5AD88', '51C2EBD9', 'F6780FF5', '0D14CC94']",178,unconfirmed
creature_1,"['x_2', 'y_0']",19,"['8F5A817E', '06B7B70B', 'B77FF086', 'D3CAD7E9', 'D37D2045', '808B8D29', 'C2E58301', '9432CC48', '7CA8FDF9', '361B9141', 'F2C78447', '171ED372', '1367A1FF', 'B414C692', '7AAD0E63', '17D5B6E9', '935DEE81', '3B59EFEA', '326B3EAF', '11EF9DB5', 'B0676A6E', '2FFEEF61', '128A4BED', '2D66F5E0']",178,unconfirmed
creature_2,"['x_127', 'y_2']",10,"['0DAA35E0', '8E30AE5E', 'D07DC8CF', '637A1780', '448C5C57', 'A7CF8668', '1458702B', '716BBB66', '53A5FCB6', '37D601E7', '73F95D4D', '3107F397', 'C23D5CED', '37847DA3', 'E49934B1', '387559FA', 'C5B2E99D', '3C8D350B', 'FE0CB352', '5B664F29', '63B71871', '6E454FD1', '03E4806D', '9A1FDAEE']",178,unconfirmed
creature_3,"['x_77', 'y_96']",10,"['435B04DD', 'CAFADAE4', '6F6ABF91', '17C53C87', 'A5AA996A', '955E36B1', 'A9F0149D', 'B1F8A144', '85987239', 'D674C90F', 'AACE76D3', 'C1A16164', '0636A0F2', 'A190F072', '856ABA68', 'E87D6148', '02BF6FD3', '39D28C76', '7343392A', '0D245451', 'A0F34E1B', '18475008', 'DD4F62D3', 'E7EA8F2F']",178,unconfirmed
creature_4,"['x_122', 'y_0']",10,"['719309FA', '679B94B6', 'ED1D61A9', 'C3365801', '905810C8', '414B6DEB', 'E14FC98C', 'ECA8218F', '3F11DF64', 'E95F1F0D', '8FD2A8A1', '5395F42B', 'B6D39979', '3520BA4D', 'FD8ACDCA', '0695205D', '65CD90F2', 'EC2CFBB6', 'CDAF0C89', '10E1D03D', 'E700D5C7', '05204BBB', 'CFC51449', '285D8BA6']",178,unconfirmed
creature_5,"['x_127', 'y_127']",10,"['A1397A28', 'A17F7C06', 'DFE2B02F', 'E51253E3', 'FF05FB73', '643B62B8', 'DA7B53A7', '48499A17', '8E7C9F7D', 'CC3589E0', 'A536F859', '3D5216A5', '94093A6E', '592C237D', '1A9AD78E', 'BE4EB45E', '96860762', '70771E15', 'F73942F5', '1A412B88', 'B519231F', '85EBC3F2', 'F36C73FB', '65F439B2']",178,unconfirmed
creature_6,"['x_49', 'y_83']",11,"['66B78238', '62F5BA31', '6467FD4F', '387315CE', 'D402186B', '1152D0A4', '3225AF73', '794E4DD7', 'CE96244B', '4DF37DC7', 'CA92EA9E', '59E86C5A', '17026D29', '29EC4AAC', '3740C6C2', '3465F881', '9368677D', '37E525A0', '63BCDD37', '518F529C', 'E04DE0AE', '9296B4FB', '9C1AFD99', '95222961']",178,unconfirmed
creature_7,"['x_49', 'y_0']",10,"['5E32AC05', 'A7D34B9F', '6AAB4CE9', '71649909', '30AA2893', '542699A9', '7D5FBCEE', '71BAB880', '4B5EA3C4', 'E557205A', '496FC503', 'E67B50E7', '35B1BA95', 'FDE36A03', '7A2B4A12', '99FE6B75', '23366AA7', 'BC34FE36', 'F5BEF1FB', '75AC7BC2', 'AF58F08B', '8AA8D7BE', '63856C97', 'FE835763']",178,unconfirmed
creature_8,"['x_1', 'y_2']",10,"['52BAA523', '489FA063', '169C2E70', '9CC843AA', 'AB8C2F2E', '99D31391', '73978E54', 'C62A4B1D', 'C25F14CE', '29CF1BDC', 'AA9FAE95', '20393AD6', '94DAE81A', 'DAC15851', '90B08770', 'AEA6ECDC', '13D5A641', '496B3ECB', '55D4B636', '3355567B', 'C10F6F30', '1E8685B7', 'C2A76A01', '66DF9F6E']",178,unconfirmed
creature_9,"['x_24', 'y_31']",10,"['E03A920E', '49EAC0F4', '95D7DD2C', 'BF4DBAA3', 'C463DBBF', 'B2BD4313', '29355F80', '44F18B04', '42952661', '168B2E1D', 'FAAE467D', 'A70473AB', '66A90BA1', '7B2DF04F', '249EF683', 'EAE98864', 'E07DDC35', 'A5E1D892', '46E653BC', '560DB154', 'DC5C77BD', '5D035048', 'E09E73F9', '570D307E']",178,unconfirmed
