,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_127', 'y_54']",11,"['85B97EA4', '7F7256FD', '1E9F8884', '78296C08', '3A81BD74', 'D7DD3507', '53B79657', '6CE0292C', 'F104A994', 'F8EF9313', 'A1E5470D', '26797414', 'A57007A1', 'BD3CC68B', 'C651CA54', 'A8A8D96D', 'F724FEDF', '66B7C77F', '4E347CC7', '61449F77', 'D693136D', '05285F6D', '65D03D59', '9A913D1C']",2,Survived
creature_1,"['x_73', 'y_121']",10,"['022DEA95', 'A968021C', '93567FB1', 'A0E176FF', '44F95F94', '7C183A71', '525CB3F1', 'E4C979FB', 'E5223BBA', 'FA8A2C68', 'B0126F9A', '672BAF9B', 'D1AFA65F', 'FD50FCFB', '3D6A70D9', '63E2B478', '6CE19FCA', '78F44303', 'BE7DFCE4', 'D771E661', 'B821A4BD', '1AF0CD39', '7CFCD797', 'AC901ED8']",2,Survived
creature_2,"['x_26', 'y_30']",10,"['13F30C1D', '13DC5C16', '57CE816A', '2C72E537', '28CD0772', '723536D6', '28F2210A', '4A56E932', '2AF3DFAF', '42CE0966', 'B00E096A', 'B8051C21', '8C7BF3CB', '69FFCA8D', '8D2C514D', 'CFFA84ED', '4D37FAF8', 'BAC60CCC', 'C13FAE1D', 'B64B23B7', 'CE5187A9', '1E492348', '927553A2', '4EB324EA']",2,Died
creature_3,"['x_101', 'y_88']",12,"['E087D5D3', '498D965A', 'F2B59D92', 'D7DA2555', 'E0B2A887', '1AE2B3DA', '4C8AE27C', 'C63AF1A9', '377862E8', '29182E7E', '44DA61E4', '5F53B01E', '3F2D11F8', '314DFBF3', '7B5CA4D0', '0EF8D49B', '2F340231', '5BDF13F5', 'B2E8305A', 'D336B086', '7B4D5F3D', 'EF171914', '8735B0F2', 'D8A1B467']",2,Survived
creature_4,"['x_5', 'y_55']",10,"['85DAF6A1', 'A39BF1A4', '2E0206A0', 'FE7FDCAD', '8DCAB729', 'BD115430', '3C7C2C17', '455FF7F9', '563541EF', 'F7BFB3DD', '86DF2D26', '5C3B3B6F', 'BB1F5A48', 'E1C232A1', '31F215EA', '319DA94D', '62431C08', '878B6B62', 'D7B4D5F3', '93615CC2', 'A5128DDC', 'F480EECA', 'AC45E9D7', '37E0DD05']",2,Died
creature_5,"['x_10', 'y_83']",10,"['911CEC2A', '734A5C29', 'C165615F', '2A912E43', '0EF34CD4', '792A1BF5', '394CD877', '250BE819', 'C540E1DE', '4B584972', 'E5F0ADA9', '31CE3D60', '70F65334', '8E924ABC', 'EE459B3C', '2526307A', '0C089492', '7077DF0B', '29339BE3', '7B796083', '5B1E8FF5', '63B182EE', 'D3BC1736', '83B1E96A']",2,Died
creature_6,"['x_121', 'y_46']",10,"['B223F32F', 'A650D1B9', '2455FA16', 'BC2D4EA6', 'D2FF9C6E', '89A3B3B3', '285B54A3', 'D8B4257F', 'B0544475', '76647AA3', '2078A667', '474C9887', 'FD609998', '4A52005C', '6D0F8929', '6290FBFC', '8D24FDC2', 'C66352D1', '7275713F', '77F1D270', '5F5F975F', '294AEE58', '03B21ED7', '2F3930F5']",2,Survived
creature_7,"['x_44', 'y_93']",12,"['AA4F5BA5', 'F20B4C44', '55E396B6', '9365AEAF', '42804399', 'DBD9D551', 'C8E60217', '0F17CBCD', 'C0D37A7D', 'BD7DA446', '9D8328FE', '579C6AD1', '3891F56C', 'E4534788', '30E79C4F', 'BB166979', '994F8648', 'CD800DAE', '55A2FE96', 'EA2D09A6', '8856E62F', '0F1A90CA', 'E48ADA9B', '48DC807B']",2,Died
creature_8,"['x_118', 'y_127']",10,"['6DDC423E', '7C1F3EE6', 'B2B7EE5E', 'B4D8EA53', 'A48CB356', 'BB2F60C2', '55B65794', 'EEFB1839', '5A67DDD2', 'C95CA322', '45044098', 'FCF5D20A', '1AB4C693', '1B144FE7', '29636A0D', '516FBE53', '7C0C369B', '1191B221', '855EB403', 'F99A84A5', 'CE7408DC', '7CBCD937', 'CE078CC5', '7815D655']",2,Survived
creature_9,"['x_85', 'y_14']",10,"['3598B4E9', '5875EEFD', '8AC1D945', '0B5CF0EE', 'DD8E7DB7', 'B0509618', '925CAF3A', '8D8333CA', '32572858', 'CCD68A7D', 'A64BF93E', 'EADFEEFC', 'C3205B6B', '3DEE19C6', 'B5CFEA30', 'B15C48C6', 'DEFFCF21', '4A61B66A', '8991725B', '8A8B80E0', 'C6E2111D', 'A0C70651', '9F534236', '40A8E58F']",2,Survived
creature_10,"['x_101', 'y_45']",10,"['59561F56', 'E928A5A8', '839A75AD', '83A32889', 'BF5C9617', '67B624D4', '743796F5', 'D597459C', '597258F2', 'BCBAFAD0', '90E00A0E', 'BC7DF415', 'C2D096FB', '97AC1EE8', '63561FDF', '1BB7307F', '1CDE314D', 'E527F022', 'FB14E52B', 'D32E2C65', 'A2E4207F', 'C0BBE4B4', '9F069205', '971A7A2A']",2,Survived
creature_11,"['x_94', 'y_42']",10,"['FF7091D5', '4519950D', '54C33E86', 'A91044C3', 'F240265E', 'E5126F89', '3D0602F3', 'B592A133', '468C2547', 'EFA0E582', '9CBD585E', '92EC8659', '6523C808', '7BEE786D', '49676E02', 'B7A515A5', '30C2B236', '7CAFC092', '6BEFF828', 'F5FA5027', '44576FDB', 'A7CEC110', '103AF9DC', '016289EC']",2,Survived
creature_12,"['x_25', 'y_55']",12,"['486409FA', '26031233', 'E52E903C', 'FB9C6BBE', '6E095C2A', '9A8404D7', 'E7D7CD55', '665FCF71', '8FCD614F', 'C0469C1A', 'E9E3F128', 'AA5EA396', 'B4DECD6E', 'BA02FF9D', '21181308', '4A56C88D', 'A91251F7', '9606A86F', '66FE690F', 'F09F3F5B', '55DC9AD5', '255EC81D', 'D4186067', '496C2B75']",2,Died
creature_13,"['x_116', 'y_99']",10,"['7745C127', '1AB7DB0A', '6F5F657C', 'E3790E44', 'ACC9B085', '949733DB', '460F5BBD', '36F484EA', 'CDB4BF9A', '2359B0BF', '6BC813FB', '26F03279', '2E50409B', '5EBE1E2C', '327CE8A0', 'E391952D', 'F1513201', '104C6E5E', 'C3DFEBC8', '2484F80F', '773241F1', '2869D62B', '74C90F44', '82909E34']",2,Survived
creature_14,"['x_37', 'y_45']",12,"['87B1852A', '1F0BBB15', '01CCBBFD', '3545C68F', '8D705E33', '402D5471', '5A5402C6', 'E04903C4', 'D6D73373', 'B2F018A5', '0662ACAB', '27E4F4EA', 'DB37AB30', 'E82D1E6A', '41ABF42B', '97D8E635', '12D35A73', '80772770', '8E4E09CA', '67527F0D', '7B5A2CC7', '653604FA', '1CC9B28E', 'CD98496F']",2,Died
creature_15,"['x_115', 'y_17']",12,"['2EAA2C66', 'DDE111FE', '37905E74', '2D6A6277', 'E257BD36', '925736E6', 'FB874712', '91C42CDB', '310F9481', '8B8F2FFF', 'C951E74D', '9B698501', '99AF9679', 'BC1E4AA3', 'CA801CDF', 'CEF98646', 'D3E6140D', '30186A4D', '03FDF613', '9E5375B5', '0F53889A', '6716BA29', 'A3297205', '7589D54C']",2,Survived
creature_16,"['x_7', 'y_47']",10,"['A3C86617', '80945578', '6FDA78BA', '8242E6BF', 'E4E3CC51', 'C0E09796', '9131A3E2', '4A7083B2', '2D66503E', 'DDD96098', 'AF163728', 'C0490643', 'FEFEBFC2', 'B008A791', '6CCCBFAB', 'A8E8538B', 'FEC101C5', 'C769E9DF', 'F954E60E', 'E1DB2A80', 'C6C2B7C3', '7B0CA9D9', '27D341D5', 'ADFD495C']",2,Died
creature_17,"['x_90', 'y_78']",10,"['5D61EF30', '3EB9FBEA', 'A6FD505E', '2EA491C2', '78345E09', '96513A36', '0A8D0B79', '9D46D956', 'A46B1D63', '749EBACC', '6D1F5F2D', '79E2F1F6', 'A56DC622', '2F766A4D', '39431145', 'A66C9703', '4DEE3C3F', '7DDC6AB5', '73690E6D', '1FCAF280', '02893CDC', '3461ADB4', 'A558C5D9', 'B341FE70']",2,Survived
creature_18,"['x_77', 'y_21']",10,"['309EEB15', '4AE1CF70', '07069615', 'FA699560', 'EE648D61', '0E4283E4', 'CDEEC134', '4F146E45', 'BD9854C2', 'E5F6DAF7', 'EE3E78D1', 'FF3ADBDD', 'F107A78D', 'DDF511F8', '5F1AC8DF', '9C2A8260', '68C40D8C', '4D7EFB2A', '7A1A0086', '035D34B4', '99179D24', 'BC35043D', '51611283', '427A006B']",2,Survived
creature_19,"['x_73', 'y_92']",12,"['A2EEE4F4', '28486B94', 'B7055F01', '61ACFEE6', '56252F46', 'BD93F3E7', '795D8140', 'D7984846', '0CEBE881', 'AFB9952E', '25C5E25C', '6763F12A', '2592F100', '7E7BE96C', '0589FB16', '10B5B4D7', '5F32AD18', 'CEDAC477', '09314C8E', '7DAF6749', 'BD8925B0', '92D27E5B', 'AAAB2C80', '527B4AA4']",2,Survived
creature_20,"['x_93', 'y_52']",10,"['C1A4F92D', '7D33CEF4', '5A98D0D7', 'DF27BB28', '9D8A8152', '4211D040', '89D61329', '7173B7D6', 'BF0781C1', 'F73FE5ED', '6FB38755', '073FE31B', '4328D945', 'A1A6225C', '2325AB0C', 'EAB75C3B', 'BE3B635D', '4C5E8325', '76193CE5', 'E777D617', 'AE4D9C41', 'FDE74BFD', '8C6F7466', '9E5B3DE9']",2,Survived
creature_21,"['x_87', 'y_89']",12,"['A2D665BC', '0D1FDAFF', '2E736DFC', 'D8644B68', 'C74EB4E0', 'A66CB73E', 'D9212D9F', '19DA4189', '3A1A8415', '8E1126D9', '2B983F2E', '26223126', '40E299C4', '7A4E5E97', '05509056', '61DA1829', '5BE6FED9', 'CD9F444D', '32A349D9', 'D18FD72E', '8D072BE1', '56FBACDE', 'A7BC8FFF', 'A2E0B0EA']",2,Survived
creature_22,"['x_19', 'y_76']",12,"['A2C7384A', '3151A1F5', '896DDFC2', '6F083439', '00F6B5DE', '98C9DB1D', '1ACD8F67', 'C433FAF1', '852D2AD6', '1C4E10B7', 'AFAE0BF8', '95293A03', '0CC2FE06', 'F14DF1DD', 'E5F42370', '10E7A1A9', '47351902', '745FF6A3', '942DC363', '7E632D09', '8C6BA328', '7B0927D9', '2D5D08DA', 'DC3E2B0F']",2,Died
creature_23,"['x_127', 'y_41']",12,"['0C94AE59', 'D3CE9894', '67772463', 'E06A774F', '2A1A583C', 'A7D98AC4', '96771CFE', 'A999BCD9', 'A0FEEBCC', '6BDADBE5', '617620ED', '33EDD607', '4E153CD8', '6B142567', 'AC471317', '264D6191', '355371E1', '0C794F8E', '88C1902B', '756A5D4E', 'CA0B8BD3', '01E1293D', '8654AED4', '5F1439AB']",2,Survived
creature_24,"['x_33', 'y_32']",12,"['9B610CBB', '19787121', '0D109578', '19C3DDE0', '6940CCF2', 'B0D3AF8F', 'B9718E82', '469FA8FA', '4F17C995', '53467304', '328F8AA9', '85F2E814', 'F0BCF10E', 'F097D85C', 'BFE40B1C', 'B79EDC33', 'DF42AD70', '5E4A827D', '858EDD6C', 'AC96786F', '908AFD94', '0DE8929D', '441EDF63', '872C61B2']",2,Died
creature_25,"['x_5', 'y_41']",12,"['8DA1516A', 'C87156A0', 'DD9AC642', '3A8D4A6A', '3F9278B4', 'BDE8F8AD', 'D4776E69', 'C7CB53FF', 'B1D4E570', '08720290', 'B07D0439', '31698B3D', '13423FB7', '47E5AE27', 'EC50B81E', 'D6AE5160', '3623BF97', '55B5237B', '5BBDEF85', '396C4FCC', '3245CEA3', 'C3D9B14C', '58B371CB', '73215D2C']",2,Died
creature_26,"['x_66', 'y_75']",10,"['039F98AA', '3C6906F9', 'E362971C', '71B411BF', '69B49A37', '11B6940D', '5BDC1662', '08D829D6', '7E1A4829', 'BE8E1F8C', '5FF7EA53', '5E70A011', 'FC3D5020', '2B128727', 'B6B79544', '5F87BEDC', '69FB17E3', '441B6CAB', 'C9F4E367', 'C155AADB', '11F58F0D', 'E47D9E44', '2DED3A2C', '96A1092B']",2,Survived
creature_27,"['x_107', 'y_123']",10,"['4E7CC0B9', '25B0CC75', '7A446768', '1225F000', 'A76F4819', '9EEC456F', '1D0E0E49', '80BB972A', '083E58C2', '9AB83B58', 'CBBDA900', '57C64B8E', 'AED5AC3A', '789180A2', 'EF954D9C', '89F376EB', '14CF3B96', '0E764AF8', 'ECE46AA2', '3E7F9394', 'FD73C5F2', '1A6CC975', '7BCF4AC4', '14509F05']",2,Survived
creature_28,"['x_118', 'y_104']",10,"['79FD74F9', 'FE82C88C', '2557906D', '4DC05102', '1C6ADAD3', '5EA429BE', 'FE080340', '7D6A6DB9', '573C54F3', '47F1F31A', '21E361AA', '7A3A463E', '6E866F30', '628CC2FD', '36CF215D', 'F33B8CCD', 'BBAB51DC', 'A79523A4', 'D651974B', 'A496ABFF', '764E3CB2', '6F90D4E4', '08E2A70A', 'F145B08F']",2,Survived
creature_29,"['x_109', 'y_86']",10,"['09F20975', '502232C1', '85CFA693', '14C7252F', '0403E085', '7FD3C788', 'D85FEE4D', '3905E0BB', '912C6E65', '2FCD23D6', '4940ABDA', '65DAF8A9', '6DD9E2F7', 'B1981A71', '30072533', '14062571', '2C7D58F2', '2B41AAC6', '0E085986', '84D10077', '0E109A52', 'B91E8E9F', 'F250F322', '831ABCD3']",2,Survived
creature_30,"['x_85', 'y_15']",10,"['9A393661', 'C04D0E36', '3DE42D9A', '80D3B0B1', '22144297', '176F8805', 'EF2FF192', '4030A4EB', '49695641', '5F28B40D', '740110FD', 'C0F5222D', '25DDC7A5', '16088792', 'B8B5B297', '18FBE50C', 'DE0CCD52', 'F39CE61E', 'F79C7CD0', 'E914DD11', '14BEA9EB', 'D35914D1', '8616839D', '258A4452']",2,Survived
creature_31,"['x_32', 'y_93']",12,"['217DFB6E', 'D93E49A2', '2C2394E5', 'BA58B4CD', '5660A228', '3E9057D1', 'EA132FE7', '83F71D24', '1A557064', '3DA20BC8', '6C7DFB8A', '97BA809B', '0915D4D0', '9B632235', '92F2FDB2', 'B4A8E858', '9518B751', '45B6878B', 'F458549B', 'CFDFFBE7', '39F4E84A', 'CF8DC932', 'FDA74B59', '12F4D808']",2,Died
creature_32,"['x_29', 'y_56']",12,"['72821FDB', 'ADC64F1E', '419BA757', '0448EE60', '081EE1F2', 'CD7038DB', '670A9823', '92B901EE', '673D67B0', 'A3DC62A0', '8293AC27', '0DE2CEBD', '31052C3C', '3AFC00F2', 'AB198176', 'E28DA06E', 'E1263F51', '8EBD8F7C', '0E96CDF2', '1FB328BA', '5C580FC0', '46B20C50', '0C8241D8', '3BAE9F70']",2,Died
creature_33,"['x_71', 'y_52']",10,"['DB06E318', '83DE1DF6', '2103C36D', 'D1056ADC', '98C7C102', 'ECAA3A35', '6833E03E', 'CE4F9A1D', '7E7A4220', '6AE97283', '0485F23C', '024E86ED', 'BD4EB6AD', '901BE34B', 'B13226BA', '83491936', '952DE706', '523896E7', '28D9550D', 'A79762BD', '1157BC1F', '94A52F0B', '2E14BCFD', 'A1F7076F']",2,Survived
creature_34,"['x_120', 'y_13']",10,"['680F667E', '75ACE1F9', 'E0CFBCD1', '145F827E', '37655BE6', '67980FFF', '601A1E02', '68D16871', '80F56C9F', 'B62E2231', '6021D2FC', 'EFE6A350', '6C482B47', '21C5A79B', '14EA14C5', '60564F6F', 'AEAF1C59', '51D3BAF5', 'F9EB7731', '8489D677', '493E84A3', 'DEB244FD', 'FEEDB47F', '09EB16EE']",2,Survived
creature_35,"['x_91', 'y_94']",10,"['74BB06AA', '79AFBF9F', '51101956', '4F5B4606', '1F12257B', '8249E400', '20D60B97', '051E1553', '68407960', '950B44AF', '151F0C3B', 'B4C875C1', '44675DFA', 'FB5B9C24', 'F3D151A4', '76B69087', '8C4B2EC3', '0D570213', '7AE29519', 'EE4E057F', '8570FAAD', 'F286FC77', 'BE015EE3', 'CB2AC092']",2,Survived
