,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_70', 'y_86']",34,"['AECC7899', '61EE32BA', '1FF4E2B7', 'E637EDA5', '0976CCCE', 'DB7B5B6B', 'DD02FD77', '8C4D1989', '1EA8B1B3', '07D9219F', '23320EB9', 'D8BE5548', 'FD91CE8E', 'C849F2A2', 'E6725CB2', '3CADE829', 'CD740434', '149A09D8', '398087EE', 'C7F05F4F', 'BD21EFC8', '7D400EF8', '6840D6C6', '81CE20EB']",27,Survived
creature_1,"['x_59', 'y_64']",-1,"['2C454444', 'F84989E1', 'DEC8F315', '064CB1C6', '4D323709', '26FCC6BC', '502D4A67', '1934B738', '31E39683', 'DABA7092', '1619E8BF', '19F85497', '9F5708FD', '4C877D35', 'C6D95102', '39615F4A', 'D2108D54', '66D35C83', '7E57851A', '62B4D2F0', '0A446A9E', 'F101ABFC', 'A63DB314', '1F8C0E23']",27,Died
creature_2,"['x_50', 'y_100']",10,"['C15641AC', '79BDD07C', '5925BCA0', 'B2192EDD', '73ED715A', '6096447D', 'E704D1A9', '226D2199', '827B4966', '769C0BE0', '517798BD', 'A75BD343', 'A800AB27', 'BA5D61A5', '4A4251DA', 'B3A55B99', 'D31B8BD9', 'C36942AD', '965A22AD', '50C4C7D5', 'B4CE87BB', 'B15624CB', 'B1B08947', '5200EA16']",27,Died
creature_3,"['x_74', 'y_17']",37,"['14D67478', '41D7A5C1', 'B21FCB67', '7279878C', '921EFB57', 'EE6ECEA2', 'FB7D9ED0', 'EA50F22F', '60C1C843', 'A9AA0394', '6113E06C', '4E7BC10F', '4A3C0062', '994E945D', '7A7DB0D9', '1BB2FEE7', '1DF2D146', '065584F3', 'C2174DBA', '527EA0F9', '9637F4FF', 'C5C188B6', 'E3F0F863', '1E6281B7']",27,Survived
creature_4,"['x_127', 'y_11']",10,"['0B10F105', 'E770609B', 'D8DC7DF8', 'D56449E0', '0626483B', '08609A74', '7C91C432', '027155CE', '1BF78A11', 'AC909E3D', '7E65F925', '437F691A', 'E55BA5F7', 'D5600170', '70EE9BE9', '14F5A2BB', 'B917B97D', 'CA1EE4A6', '07A6FA78', '8E28BAD4', 'F7263667', '9622C3EC', '3830F23C', 'F5DEF99E']",27,Survived
creature_5,"['x_103', 'y_121']",37,"['26CA3621', 'E1EBDE1D', '8ADF6766', '09EEA521', '92D0C0DC', 'A690F225', 'FD18F70B', '98E417BC', 'A3E9ECC4', 'DCEACF37', '388FFE81', 'B7F9C9D2', 'A8B7A77B', '63FA8017', '292B67EF', '07549376', 'E92F0D27', '8E82EE23', '01760337', '4AAD2AB5', '370BA332', '74B2A540', '2F63A29A', '64E0CE03']",27,Survived
creature_6,"['x_93', 'y_32']",10,"['6B0059F2', '53234C15', 'AF5AAE9D', '4BFA10C8', '6F3A8A0B', '709C9557', '4EA5FEEE', '3894B9AD', '1D940CC2', 'B12687DA', '32184F39', '10920FBF', '653F4AA7', '6B5C62B5', 'B340441F', '7996DF78', '12596E9B', '369A2DDB', 'CDB35069', '6B037552', '41964738', 'FE881BB9', '485D92E2', '1E50089F']",27,Survived
creature_7,"['x_46', 'y_127']",14,"['8CF75495', '2883D251', '443A6573', 'B4F787DD', 'AC6259AD', '6B26AB2A', '03D80234', '79C32534', 'C3381347', '594BB9F5', 'CFAD248B', '92DAFF87', '0948D24B', 'A407FD2C', 'F99F8A6E', 'F9AD54F4', 'B97068AB', '7F8AD7D6', '09B8B598', 'B5814FE5', 'C88BE228', '759890CA', 'ACE6A2A7', '85DB5AB5']",27,Died
creature_8,"['x_55', 'y_65']",10,"['7E201143', '4718D06A', '39ED3FEF', '48433DFD', '61DBA062', 'BFC724EC', '820B30A4', '137124BA', '8947DB17', '82DEBCEF', 'BF2FB7C0', 'A4A823CF', '236B2B8E', '60790985', '67386214', 'DC58C2F0', 'D1D7C2B0', 'FECEFEB1', '8E0615CC', 'F2AC3EE4', 'C4F909DD', 'F2311EAF', '4087F7FF', '88211827']",27,Died
creature_9,"['x_103', 'y_10']",10,"['AB5CD36C', 'FE10CEC5', '3071651A', '77A6B0D3', '92776835', '632CC18F', 'E2B1A63B', '7DC3EF32', '5BB86B02', '4A1F05F0', '409CD843', '59D1671D', '19FC5851', 'B94D6223', '0A01D3D3', 'ADF47643', '5DDEB93C', 'F4FFA1BB', '2227A60A', '36D32751', '265AA1E8', '319B6E5D', '6624CCC2', 'C7B4F3A3']",27,Survived
