,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_127', 'y_19']",10,"['B0B9B931', '4DE17FE6', 'FF9C75D4', '4C70853C', '96FB91BC', '2E790C73', '370D3120', 'D008D0ED', '8B300356', 'F0B3CE49', '2DDCAED2', 'A30EF4CC', '1CDFCD62', '6E793346', '8D06ACEF', 'A09D6916', '535A0459', 'E1186103', '7CE04933', 'CDE3127E', '6252E8B8', 'A258156D', '9015D737', 'E6405142']",163,unconfirmed
creature_1,"['x_126', 'y_127']",10,"['9B793738', 'B2F566F6', '03698048', '01F55C58', '8B178591', 'AFA728D2', '82FD47E9', '29F2C063', '6819E370', '6947D573', '4290235B', '2F79C71F', '5526D74F', 'D604CFB4', 'A41BD49C', '22002C2E', '4CBEF4D6', '53A10D59', '988CEA9D', '320668B8', '026E8E03', 'D72596AF', '8B7BCC77', 'B51B9CBF']",163,unconfirmed
creature_2,"['x_124', 'y_1']",10,"['0E6A0123', 'E3B10D95', 'DE47EA73', '61958534', '2F378513', 'A62593D7', 'D48DB17D', '586001E1', 'F56FF5C2', '3E904DF4', '1A4AAAF2', '048E9B45', '5025872C', '3F121B78', 'FD9B0011', 'F93FA2A2', '41385C0C', '0E670388', 'F8EB0672', '77764E99', '9223889B', '27B5E79D', 'B9E2AACC', '8CB4797E']",163,unconfirmed
creature_3,"['x_53', 'y_0']",10,"['FB0E5D54', '564C4D55', '9574AA59', 'C3E416AC', 'F7043534', '8F635383', 'CF5FF492', 'ED1B5347', '19B8E405', '424FCE96', 'DC427E08', '5FAF08F4', '9797206C', '19254AC4', 'D854BCB0', '2DAE3D63', '65C57A11', 'E0FD949E', '7A67C6A6', 'B1254861', '91443B4F', '8FF43F5B', 'A18D14A5', '1FE56AE2']",163,unconfirmed
creature_4,"['x_0', 'y_17']",10,"['20E3FC42', '823FB0F3', '92AB55A5', 'F9F09771', '1064A99D', '2EC4D06D', '95DCC1B9', 'F5CB47F1', 'E49A6A9D', '338F66CF', '818842F3', '10AB63B1', 'D5846064', '2B9593ED', '79F83606', '6D042750', 'D5BFF1D7', '55084783', 'F6001823', 'FDE36BD0', '70C82CAA', '783E70C1', 'AA47E5BF', '00D6B169']",163,unconfirmed
creature_5,"['x_31', 'y_127']",10,"['E8CCDB4C', 'EAF1A3EF', '4276937C', '7251620B', '1D359A4F', '288CCD4F', '3826AC6A', 'BFD33CFE', '27FA2C4E', 'D3081BF0', '8E250A50', '6332E8CE', '2D002B1F', 'C98180E6', 'C1B06342', 'ADDE550C', 'B8975C7D', 'FA2575CB', '554C001E', 'F9D2EB83', '04B30DC9', '6ABC159B', '5074ECB0', 'ED4DE6F8']",163,unconfirmed
creature_6,"['x_120', 'y_125']",10,"['62B78D08', '00C297DF', 'D63DE676', 'C5DA302F', '67CDFB5F', '4BB362BC', '1920368E', '808FD910', '71493ECC', 'F0766225', '3DC67297', '4A7D1D48', '4A8CC5C5', 'AF6AC7B5', '14CF4098', '5FC6E711', 'D22C6B37', 'A6DA2AC6', '9AD79420', '3BD3C344', '2AA1423D', '9ADCE4D4', '21D135A5', 'B6983471']",163,unconfirmed
creature_7,"['x_103', 'y_15']",14,"['2D6768F7', '6C19B977', 'B5C930BE', 'F126E60F', '8BF6C498', '34DB63EE', '8D020454', 'D07BD467', '6DF8E6E7', 'CF3E7190', '469AB1B0', '09F41F69', '70DB9E90', '2B848123', 'E4D76705', '11EE2A66', '9916A5D3', '30A575B4', '844F2548', 'FCEA31E9', '88EDAAD4', '79E8C3A4', '71550AF5', 'C74009C6']",163,unconfirmed
creature_8,"['x_82', 'y_0']",10,"['DDADF083', 'B0A3D3DB', '50DF5AA1', '293FD127', 'C94B1745', '1610AF83', '4C2EC32E', 'FF517952', '184DDA12', '03EC19F3', 'CE040733', '6B107FE7', '05F66855', 'A01CD4A2', 'F1C902BA', '435A79BA', '6FB67AAD', 'F1636C63', '80A6F043', 'E0126C34', '72943B35', 'E67392FA', '495F2EF1', 'AFC70713']",163,unconfirmed
creature_9,"['x_125', 'y_36']",120,"['A992443C', '472B9E67', 'F4D6D098', 'DD46462A', '4C3A4DD3', '1951B7A9', '8B47D83E', '3034FD66', '2A1821D0', 'FAE78064', '6050F5D8', '51EA8453', 'EE75D34B', '09D8DE24', '253198A4', '515A4953', 'E03102AA', '5C5DBF4C', 'FDE9E2DB', '30E80049', 'A10FFB92', '833A170F', '01FAC879', '83CFC11C']",163,unconfirmed
