,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_42', 'y_75']",10,"['6D56EB64', 'F15C5082', '2BF0EB92', 'E2EC2795', '9E2A519A', 'FF1DA44B', '6EB3D53A', '6F0F5609', '7B25B812', '21E24613', '20DBE35E', '83FE7A10', 'C73B2FFC', '29DEC7CE', '834A9A5D', '85CAB83D', 'CA22563E', 'DB5C09B0', '04ED75BA', '04C6E869', 'DB54C943', 'F5F552A0', '48529653', '46541316']",104,Died
creature_1,"['x_127', 'y_39']",90,"['A279FD27', 'C354BD65', '81FB7310', 'AFA88977', 'E5884869', 'DC188111', '4CEDDA7A', '82D1B086', 'E01D8208', 'C2BB8A2D', '87DD929A', '766B961C', '69A113D2', 'C4F603CD', '4999A962', 'BE90D340', 'AC447BE2', '0428AF2A', '6628F897', '4B389823', '1A3C0A54', 'F3B06EB9', 'B0FD5D49', 'D01F2A5A']",104,Survived
creature_2,"['x_0', 'y_20']",48,"['89DC33F2', 'ED4470C8', 'C5B2D294', '04FBA80A', '5356569B', '1AC2E070', 'E97969EB', 'CB6F5562', 'DEDEEE7C', 'B086819B', 'D5BF7FE2', 'FAE78A3B', '5C6FD66C', 'D6144C79', '4BD148ED', '07D95991', 'F44671ED', '6D02E19F', '7798C76B', 'AC231A49', 'BC2D2594', 'EF0F05E7', 'DAAFF385', '0347B01F']",104,Died
creature_3,"['x_35', 'y_0']",10,"['2E3A0176', 'AF525268', '4AD9F795', '534C2886', 'CAFAAD40', '2CE80BA5', 'A05DE834', 'ADF47D77', '8D3BBB7C', '7E13EDFB', '2A2EB80D', '02E9CD2B', 'EDEEC37A', 'E6B95297', '9ABF1EC4', 'E779C6D0', 'DC522BE5', '6108694C', '2F28B292', 'BC66D7E4', '32531596', '236CA433', '5B8AC435', '1EC9F9A5']",104,Died
creature_4,"['x_62', 'y_101']",10,"['49986EFE', '727ED039', '4D27D446', 'E5B226F3', '8A29FDA3', 'FCF9872B', '0C7C042F', '9978612A', 'B6F6D6A6', 'A80ABA29', 'FEFD04E2', '23ED1C97', 'BAF9F14D', '91D8063F', '65873C82', '2E2501F3', '48ABA6FB', '74C27E65', '20016155', '68F75769', '5D9CF0CD', '6B60E5F9', '9AFFF49C', '14B017BA']",104,Died
creature_5,"['x_81', 'y_101']",10,"['0772A2D5', '52313B31', 'FCB5C225', 'B25EAC15', '8974BD69', '33111D46', '12758A30', '975F48BC', '667AE6BD', '9182EB24', '0510FE8A', 'C07B0A1E', '6ADEC8EC', '2AA181D7', '97546F4E', '531E6BB5', '03A79DA0', '1934FB51', '408C48B5', '980B683B', 'D5730DB9', '5E955393', 'CFB4C674', 'A802B816']",104,Survived
creature_6,"['x_107', 'y_56']",10,"['364BF5E4', '165B3793', '78570104', '5E00C407', '194C0F5E', '38B3FE9A', '7ED6AB51', '59F22A68', '274ABA99', 'EC556861', '20DB9D0F', '4F367DB2', '85A44017', '121D2F9F', 'C79C1E56', '647C4439', 'D3B07163', '0C051B96', '2DD13050', '817F13C5', '93E9B194', '27B42BFA', '3F2306E7', 'EE1917FB']",104,Survived
creature_7,"['x_46', 'y_0']",10,"['D28F86EB', '2670528C', '046B5D6C', '17E60A40', '55CC701E', '4F5DED5D', 'C943C595', '8D0004B5', 'F8EF59B6', 'AE4C71C4', '3096CA0F', 'FEAD9980', 'A80E9807', 'E5A4178D', '558C0910', 'DAB1CAA7', 'EE12CB03', '540D72AC', '57E1F23B', '3998F1A3', '09D69691', '6BA5145B', '945845BF', 'A8819621']",104,Died
creature_8,"['x_127', 'y_3']",10,"['04266CFD', 'B0D349A5', '6D0905F6', 'B36F9588', '50E4AF30', 'F804995E', '5DBFD450', '694D562E', '7B0343BB', '3F1DCC2C', '0E75C14D', '9F69AF88', '67A5CC0A', 'A1D4353A', '60C75A6A', 'A577DC05', '92532DAD', '5921AC7C', '017F66C8', '3CC10973', '96381937', 'CEEF3FFA', '1134697D', 'A08379EB']",104,Survived
creature_9,"['x_25', 'y_23']",10,"['A51500FE', 'ACA9DAFC', 'DB9E03D9', 'B7F2845E', 'AB363A6F', '5EE33265', 'B712C293', '9697B0CE', 'C6C23433', 'D4C629B3', '6E8046A5', 'CC14646F', 'B7EAF93C', '36532DE9', '65213757', 'C33289EF', '1DF6870D', '3E728AB4', '4078FB9E', '4B833C2D', '3CBFFB05', '7D8611B9', '194B3001', '176DF545']",104,Died
