,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_60', 'y_40']",10,"['A05BFA1B', '83EDC30F', '50FAE9F9', 'B63FB3B2', '11470402', '7FB5EFC2', 'F3B31F04', 'B9E883F5', '44B4669E', '4782FDA6', '3F7B31B4', 'B21BA425', 'AB397916', '28B0CC41', '1CD4B047', 'C00B7417', '8D047167', '3BF67892', '4088AA54', '189C6BAA', '72B39838', '3AA6E61E', '80FB437C', 'DD896B3F']",43,Died
creature_1,"['x_32', 'y_0']",10,"['98890DC7', 'E37F400D', '28FE8C3A', '5F7B16A0', 'C36F3AF7', '0D261100', 'BD39F989', 'DD29AD87', '2456240D', 'AEDA1760', '9D264B42', 'FE684AE7', '3CA9A506', 'B5C32BEB', '35FC0E42', 'A2B92116', 'A3A14063', '05FF1513', '3A34D819', '61314355', '3410B771', '39F8DBD0', '5025BF48', '997B11E6']",43,Died
creature_2,"['x_63', 'y_73']",47,"['A6FB168B', 'B24B1628', '21F3AA90', '93BD230A', 'D4872B59', 'D26F3BFE', '2FCF7B1E', '925EF3D0', '6DED2ABC', 'D5A8B593', '32F79809', 'FE7D928D', '6177AA01', 'F4A2AB1E', '77C6CFA6', '2E3AB573', '94C1B896', '1AF067BF', 'DA01EF33', '64E224DF', '9380218C', '07E8BACD', '38C0B6B6', 'B87F8577']",43,Died
creature_3,"['x_115', 'y_96']",14,"['117B8A86', '78324CFE', '129CFCE2', 'A9E113EC', 'F1C81D1B', 'C5189D14', '9133B591', '633D2ACD', '6133EAB0', '02269D54', '8C13D12D', 'ADB0F5E8', 'F2996BEC', '877614B5', '9727CEF6', '992A6EA3', 'C3255328', 'E4D98298', '6F2EC986', 'EA842B58', 'C33C6367', 'F78E3AA3', 'AD1AF5BF', '8406F3D8']",43,Survived
creature_4,"['x_1', 'y_1']",43,"['2924583B', '095B3F70', '1EF7CECD', '6E4E44DF', '2B3D6C16', 'FA46C913', 'BAB95410', '89B388CB', '041BEE21', '8D0259D6', '884E0FEF', 'FDC83A4A', 'F6615B4C', '06C2BEFB', 'BBE4E69F', '60E2A66B', '4B01B4C2', 'CB8BDBA8', 'CA6E95DB', '15D3A721', '2FD6EF18', 'A327DE68', 'C15D00A7', '354006DB']",43,Died
creature_5,"['x_65', 'y_127']",13,"['421B5042', 'BA155399', 'BAE197EA', '27DAB1F1', '84FCEEDD', '8466EFB2', '07EF6C3E', '1C86D195', 'C8007087', '70DF5AA5', 'CB6E462E', '711C43C2', '5C2A72F7', 'ED93D257', 'EB71C306', '4D3BCD8F', 'E9882CDB', 'BCD7C2E3', '0BE471D8', '3377D037', '8AE6E177', 'BFF3D414', 'FEC98F5B', 'E02289AB']",43,Survived
creature_6,"['x_62', 'y_24']",43,"['C3339E13', '61D7E3FC', '04257E2E', 'E0711E0D', '469ED840', '72349565', 'C2CD6141', 'CE361EB0', 'FC67DD5B', 'EC0F962A', '5C750A66', 'E2B16423', '1F958EEA', '34B470D1', '7723B010', '4B00669E', 'AB929965', 'C029E536', 'B1F1209D', '4D10FFC5', '03292E70', 'CC1732C0', 'B691795C', '39F6B844']",43,Died
creature_7,"['x_118', 'y_46']",49,"['E516619E', '05E5B61E', '7967D47E', 'D3BB9A86', '532BE36A', 'B57B579A', '69793EDC', '228646BC', '440171AB', 'F461D363', '700CD8AD', '86D5719B', 'AAFB0177', '4A71CFDE', 'C84A6E3F', '30F18A48', 'D282C4A6', 'CA143B91', '81957B98', '594CC4E6', '1C2A7D36', '29FA02E3', 'EEA62EDE', '884F58E1']",43,Survived
creature_8,"['x_30', 'y_50']",12,"['CA5659D4', 'A187F28E', 'ECD9E3DF', '58634ACD', 'A16EFB8C', '515979A8', 'E52EC761', '3C053B3B', 'D67CEA82', '82D6F6DA', 'F8707C70', '00180B1D', 'FC6E5FD0', 'EE716A72', 'C32109B7', 'BE681468', 'BAD40D6E', '5DF4A783', 'B46007C5', '8ADC1B2E', '6DFFB72E', 'BE0DDF77', '5DA893B8', 'FD80BF40']",43,Died
creature_9,"['x_127', 'y_18']",31,"['CCD21C95', '0D8F6021', 'FF91EE3F', '0575DDE5', '12F54B3B', 'D6772EA1', 'DA8FABB8', '6EEF9FBD', '3227173E', 'EE24E2C5', '3A0BA2B8', '11246023', 'B99365F8', '77E3B1BD', 'B01EBEF7', '413E3898', '71A6FA8F', '961616BD', 'AA98A8C3', 'B9440B45', '0DD553AB', '938E287F', 'D023CCBD', '5E5AB927']",43,Survived
