,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_51', 'y_91']",12,"['F7618EED', '3DEFB87B', '91BBBA62', 'C8A8DA7B', '3F67C36E', 'EC71BA4F', '22795AB5', '654432E5', '0374F281', 'DD768A45', '8FBB3A5E', 'A65C0D3C', 'A1160A91', 'F3A0D727', 'F2B51A5D', '045422A4', 'D0477CA8', 'FD23DFD8', 'D891B192', '19B1B7E4', '55BB75F2', '16CC292C', '27CE23DC', '373CFDA7']",3,Died
creature_1,"['x_32', 'y_50']",10,"['1AC1FFA6', '267A34FE', '5ADB4DDA', '49EBAF95', '19FFB44C', '659D8BD3', '9FC3C574', '8A05BD81', '99BD02F4', '8DFE0529', 'F985588E', '63EEEDBC', 'B5DD188D', '5F2F0364', '5628E465', '540C5488', 'CF4AF3A9', '82D5DFB9', '16EAFC64', 'B0E70E7C', '449C5B4D', '31F31EB3', '75C6E50D', '213D296D']",3,Died
creature_2,"['x_97', 'y_17']",10,"['2FF3BA5D', '376EE477', '24C73DFD', '1DD6EE2A', '6ED07213', 'C5CEFFF9', 'A608E1DD', '78C66EA1', '1FD8B304', 'F623EBE9', '2B170F06', '1FA366A6', 'F85274F0', '49F5DC08', 'EC6EF5F4', 'D5BDCA89', 'C186F9C6', '619A19FB', '4C60BD9C', '8F098D87', 'FE03D17B', '32651775', 'E2784CFB', '0BBFA115']",3,Survived
creature_3,"['x_35', 'y_12']",10,"['625A8042', 'B0B717D5', '12513EFE', 'DB58E53E', 'C563D833', 'FEF84273', '0D8E09C2', '41C952BF', '1B5AD753', 'A7B10532', '76059326', '9B191A15', 'DEADB72B', '8366EBB0', '23043EFB', '84D25786', 'C114F5B5', '352B215F', '9086BC12', 'C736E074', 'C49466BE', '8EC4EE6B', '856F8401', '2D8174A3']",3,Died
creature_4,"['x_60', 'y_33']",10,"['256B309A', '19B693B4', 'BD6E11DF', '21FF118B', 'FE8CF6AD', '4C82BA13', '63B54B37', '3988411E', '5B532448', 'F86AC2A5', 'C7C4A625', 'F28F689B', 'F684955C', 'AAE18204', 'BEEC8A28', '11C68F84', '80FE71BA', 'EBC551E5', '99507143', '71344164', 'C64BEEAB', '08798FB6', 'F5967B84', 'A12188AF']",3,Died
creature_5,"['x_119', 'y_45']",10,"['EADC968E', '0386661B', '835C4C2B', '22ADB939', '7A5FFD78', '9DDE910B', '76E41FB2', 'FF6F3A07', 'DB969E2B', '0B1EB737', '8F72F969', '23849CE3', '532C6311', 'F1C41CDA', 'BFAC2FA3', '7DD28208', '1B5BC2B8', '200CB2E7', '9C174EC7', '9A8D1A1D', '720ABA60', '94B14325', '3E4166A3', 'AF76400E']",3,Survived
creature_6,"['x_51', 'y_6']",12,"['DE8146D4', '7960CB0F', '2034746C', '89D9A352', '0013CB0F', 'DAEC7ECA', '1C70CB4B', '0ECAD05C', 'E4B601B8', 'B8BC4014', '38F3A36C', '595ACF71', '91D0CFDB', 'D5DBF1CA', 'D3A918C8', 'BD16FA55', '4E48EAAD', 'D56C7DEE', 'C4A54B7C', 'E7491507', 'CFF70A34', 'BA89776A', '4802DA28', '38112462']",3,Died
creature_7,"['x_90', 'y_106']",13,"['31A40D3F', '51E33499', 'E1F3B547', '59B5905C', '7C9B1A68', '23F5FD60', '3DE4ABBE', '378A4568', '59E0F587', '2E61C654', 'CB63DA8F', 'D715C06F', '86380147', '21C3E18E', '14CCDBA0', '49BAF4CB', '5B4122FA', 'F7379785', '143CFE50', '97C69A14', '697FC54B', '71ADF321', '996CB660', 'CA7C2949']",3,Survived
creature_8,"['x_89', 'y_69']",10,"['689B0585', '64F7526B', '090C4B11', '8B03C895', '082187E8', 'F3488F45', '4B620CD7', '5F5B95C6', 'AA55D829', '9C9E687F', '40E9DC38', 'A3A020E4', 'EA959A36', '94742927', 'BAFD8044', '0A3D5FD5', 'FDE90383', '71256802', '9F8C017C', '1F991D61', '54CA3CB2', 'D6DCCD4B', 'B4FBFAEE', '49061F4D']",3,Survived
creature_9,"['x_117', 'y_68']",9,"['E3CDAC65', '9CE4AD00', 'B7F3B040', '71AE1812', '0579E632', 'AF09469D', '1CD720A4', 'AC542D9F', '51DBE6AF', 'E996F090', 'D72E2E53', '532C331D', 'E3C92745', '2F465B9F', '3C1944D6', '8E913742', '48F54770', 'BEE01EAE', '9806F97C', 'F5CF359B', 'E4AF027B', 'B36D4820', 'DB3CAED6', '178592A7']",3,Survived
