,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_54', 'y_108']",10,"['0818D308', '55D946FC', 'C136CB69', 'BB3BA03B', '116FE1F3', 'F0359477', '5785F5A9', '61745238', '903CFA12', '3BDE4116', 'F3F66C04', '14DEA31D', 'E50BD852', 'A58E988C', '01EF82EF', 'E8CBC1A0', '217F434D', '271ECA89', '968D07C2', 'D751ED2B', 'E77F7C08', '0791D65F', '4158779C', 'F4773579']",79,unconfirmed
creature_1,"['x_17', 'y_127']",10,"['431A8883', '24DA34CA', 'AD0B09B4', '34A4F789', '27A0F613', 'A7605E29', '9AD83242', '9EC9085E', '5B28B6CB', 'C66881DB', 'D844C6BD', '5ECC9C7B', '6712CFD6', 'B688211F', 'D844C6BD', '25005BBB', '125E8580', '45995B5A', 'B63CC65D', 'E9010184', 'B79C6CBC', '2D1A2430', '0828650E', 'C668819B']",79,unconfirmed
creature_2,"['x_114', 'y_53']",59,"['07A1FAD2', '9AD83242', '752AC979', '7FF74F76', '9C0B8EA5', '2839C44E', 'C5CF59A2', '3911150F', '8DABEE9C', '6DA2B10C', '7ED71B8E', '3722B2D8', '0A8C422B', 'AF9DE74C', '2EF7B3B1', '5B7452C3', 'C3024C2C', 'B9BA3B93', '043FDE56', '802F0D37', '371EE309', '59DDB2DB', 'D9A09084', '8AA5DF2E']",79,unconfirmed
creature_3,"['x_41', 'y_19']",21,"['A2F8A9DD', '0791D65F', 'FFAFC954', '1814075C', '52162F85', '73204A58', '9198C6B5', '67844244', '2D0B09B4', 'D02C2623', '27F68044', 'B79C6CBD', '5937DCD7', '08206506', 'FEC71B8E', '6AE16D63', '3759BF2F', 'B53E2983', '0791D65F', '7CC048F3', '3391CC69', 'C166264C', '0304C701', 'D59F39B6']",79,unconfirmed
creature_4,"['x_121', 'y_127']",17,"['50EEE16E', '7FF7CF76', '34D9CA2D', 'CDE17FE6', 'C3B5259D', '1919814B', '6A50959E', '1972D07D', 'D02C2623', '75F947D9', '9FF0BD47', 'ED340226', '4E93D17E', '3BDE4914', '34C34173', '412F2101', 'EA9CA5F8', '4E93D17E', 'D59FB9B6', 'D59F39B6', '3D89C1FF', '0CD50187', 'B16FD081', '44BB06E9']",79,unconfirmed
creature_5,"['x_127', 'y_32']",34,"['3BDE4115', '543FDE57', '1291F3BA', '599DB2DB', '878717B1', 'C0FE2E55', 'F0B3CE49', '34C34173', '91BDCCF3', 'D59F39B6', '657C8442', '2971F8BB', '545569AB', 'D1331702', '53F98507', '3BDE4114', '0392FAAE', '237F434D', '0CD50187', '988BFDCC', '44BB06E9', 'BDF95636', '2727952F', '0828650E']",79,unconfirmed
creature_6,"['x_28', 'y_27']",15,"['1CDEA30D', 'B9BABB93', 'C3B525BD', 'D59F39B6', 'A06C90EA', '1814074C', 'E260BBF5', '973BF6D0', 'E18F8E6A', '293FD123', '98A43E18', '7BFF9DF6', 'B9BA3B93', '271ECA89', '0E0BFDDD', '0296E9E7', '2D93C79E', '1973D07D', '2EEDFD3F', 'C68AFBA2', '250F852D', 'E76FD62F', 'E7AE8BE1', 'F501A344']",79,unconfirmed
creature_7,"['x_63', 'y_82']",17,"['903CFA12', '53F98507', '7A1C449A', '217F434D', 'B3B8B0EB', 'A8048CD9', '0C554187', '55D946FC', '83D3903C', 'AAA5A958', '89884797', '3BDE4114', '7D92D0C1', '6883D3BC', 'E4788AF5', 'AFDDE562', '41E762ED', '0296E9E7', 'B4784CC4', '90F33B54', '0A698DAE', '0384A6EC', '3F6BCBFF', 'BB3BA03B']",79,unconfirmed
creature_8,"['x_100', 'y_0']",10,"['A8E030EB', '1B2CB6CB', '5A00730E', '31ED34B9', 'BB3B803B', '27A0F613', '0A698DAE', '0CFE3F10', 'EE3E339C', 'BABC4BE5', 'C02D778D', '148EED11', '0A698DAE', 'AD30F860', 'B37579CC', 'DA7166EB', '977450D5', '3E5E60D0', '3722B2DC', 'E7B4BF93', '3A3E399A', '1767A0D8', 'C2E53196', '5455E9AB']",79,unconfirmed
creature_9,"['x_98', 'y_124']",10,"['C713F456', 'A8048CD9', '3B5DE025', 'D644D308', 'E110D8E1', '5695FFAB', 'E774C316', '91343522', '1C29F2D2', '1291F3BA', '125E8580', '209232AE', 'E9899ADF', '039FFB9D', '83D3903C', 'ED8FA11D', '7E73266D', '8004A15B', 'A068431A', 'A4894B78', 'C136CF69', '5B759CED', '5571E820', '6D62B10C']",79,unconfirmed
