,Coordinates,Oscillator_period,Genome,Age,status
creature_11,"['x_124', 'y_125']",10,"['3E2C055D', '3064F923', '93D83A9C', '588F0F23', 'D38DAF2E', 'EB3119D5', '8AD106E6', '3064F9A1', '13D838FE', '3E2C055D', 'EBA15FD4', '166A523D', 'DF85AF7C', 'EBA559D4', 'EBB119D0', '37836268', 'B6B45309', 'D9373E07', '5C1F1B23', '589F1F4B', '9A9F0FFF', '93D83A9C', '589F0F23', '355E5EED', '9ED42B7C', '9A9F0FFF', '3164F923', '93D838FC', '9A9F0F7F', '96F8089C', '75565CED', 'EBB11955']",180,Survived
creature_12,"['x_122', 'y_120']",188,"['14101C6B', '999F121C', 'EDA118D4', 'FF97BD77', 'EBA119C5', '93D838FE', 'EDA118D4', '83D838EF', '3E2C055D', '362C0D5D', '3051FBC8', '5B512666', '9A9F181C', 'D798E57C', 'D8DD973B', '3D182890', '989F121C', 'F785E17C', '5C3B1323', '9E9F0F7E', 'EBB119D4', '34101C6B', '1B71A6E0', '12E8D119', '3064E8B1', 'D787BD77', '3068D3B9', '3064F9A1', '589F1FA3', 'D9273E07', '96FCC89C', 'DA83DF5E']",180,Survived
creature_13,"['x_125', 'y_127']",10,"['354614E5', '8291459D', '3064F8A1', '14D42B58', '3065E933', 'F7836368', '9AD026A2', '262C055D', 'F787BD77', '589F1F49', '58971E4F', '93D838F8', '166AD235', '3064F923', 'D781C57C', '3050BBE9', 'A001078B', 'BC8F140D', 'DF97AF12', '5C3B1323', '35561DED', '589D1F23', '989F121C', 'BE9C2B5A', '96F8089C', '1B412660', '3E2C115D', 'BEDC2B5A', 'DD87BCF6', '589F1F49', 'DF87BCF6', '355E5EFD']",180,Survived
creature_14,"['x_124', 'y_121']",10,"['3064F923', '335E54E5', 'DF85AF7C', 'DF87BCF6', '93F838B8', '3064F8A1', '355614E5', '375E54E5', '588F0F23', 'D781C1FC', 'D702E57C', '9E9F0F7E', 'F785E17C', '3E2C0959', '9B9D96E0', 'D8CDD93F', '355616E5', '93DA3AFE', '3EAC055D', '963D562C', '9ED42B5E', 'EBA118D4', '3464F923', '989F121C', '3E2C097F', '9AD122E4', 'E3B0195D', 'DF81E15C', '35565CED', '3C2A5D00', '1B51A6E0', 'DA83AF7E']",180,Survived
creature_15,"['x_127', 'y_96']",10,"['13D838FE', '375E54E5', '166ADA3D', '9E9F0F3E', '355614EE', '93D838FC', '355614EC', '3065E933', '3C2E055C', '375E54E5', 'F7836368', '3050FBC8', '342C855D', '3C2A5D01', '9A9F0F76', 'D781C56D', 'A0820D0B', '3064FB21', 'D780C53C', 'F787BD77', '3C2E055C', 'D787BD77', 'DF81E15C', 'DF87AD7C', '9AD026A2', 'D781416C', '166AD23D', '8A1F0B7E', 'A025058B', 'DA83AF7E', '3164F923', '9B9D86E0']",180,Died
creature_16,"['x_121', 'y_0']",189,"['E1142E86', '361875B8', '0B412468', '32E8D111', '9A9F0F7E', '342C055D', '588F1F23', 'EBF999D0', '9AD026E0', '3422661F', '3C2C055D', '58BF1F23', 'EBB11950', '3C2A5C00', '9A9F0F76', '3C2E055C', 'DA83DF5E', '83F838B8', '35561DED', '9AD12EE4', 'EBA11994', '9C9F121C', '3C2A5E00', '166AD23D', 'D68FAF16', 'D781C17C', '3EAC055D', '351614E4', 'EBA119C5', 'A28B0539', '5F85BC3C', 'EBB119D0']",180,Survived
creature_17,"['x_127', 'y_6']",10,"['17561DAD', '355610E5', '3064F9A1', '9A9F121C', '166ADA3D', 'D8DD9F2B', 'EDA118D4', '58971FCB', '355610E5', '3E2C054D', '5C3B1323', '8A1F0B7E', '939838FE', 'A082070B', '96F8089C', '96FC489C', 'EBB11950', '9A9F0F7E', '93D83A9C', '35561DED', 'EBB11955', 'EBA15DD4', '3068D3B9', '9ED42B5E', '9A5126A0', '9AD322A2', '342C055D', '589D1F23', 'CF87AD7C', '9A9F0F7E', '9AD122A2', '95264756']",180,Survived
creature_18,"['x_125', 'y_117']",156,"['D700E57C', '1B4126E0', '3426661F', 'E3B0195D', '3864F9A1', '3051BB19', '83D838EF', 'A282158F', '58971F4B', 'B6345309', 'D38DAE2A', '58971F4B', '5C3B1323', '5CBB1B23', '11509B49', 'D8CDD93F', '5F87AD7C', 'A383058F', '342C055F', 'D702E57C', '3E2C0959', '30E4F923', '9B9D96E0', 'DF87AF32', '335E54ED', 'D8DD8F3B', '9AD126E0', 'DADD9F27', '9ED42B5C', '3E2C055D', '95264756', 'D8DD973B']",180,Died
creature_19,"['x_76', 'y_0']",10,"['DA83DF5E', '1B4126E0', '3064F923', '93F83898', '35565CED', '589F1F49', 'F7836368', 'EBB179D5', 'D781C56C', '5A8F1F23', 'D781C564', 'A882070B', 'A882070B', '1B412660', '10509A49', '3E2C0159', '007CF929', '35561DED', '9E9F0F7E', '3C29015D', '9A9F0FFF', 'C89F1F49', '1B4126E0', '1E2C0555', '3064F8A1', '3050BBE9', 'D798E57C', 'D38DAF2E', '93D838FE', 'DF81C14C', '3E24055D', '355E5EED']",180,Died
creature_20,"['x_127', 'y_63']",10,"['963D562C', 'D787BD77', 'DF87AD7C', '93F838B8', '3C2A5C00', '3C2C015F', '1E6A511D', '3E2C097F', '355614EC', '4C1B1B23', '98861F85', '3E2C055D', '3C0A5D00', '588E1F23', '9A9127A2', 'DF85BC3C', '3D561CED', '589F1F49', '007CF929', '9A912722', 'A28B4539', '355614E5', '362C055D', '589F1F4B', '8AD502A0', '1414146A', '8AD506A0', '589F1F23', '9CD42B58', '9A1F0F7C', '9ED42B5C', 'DF85BD7C']",180,Died
