,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_26', 'y_81']",10,"['D2A58D49', '7BB5AA02', '93F7586B', '460E244E', 'F5B5B99E', '2548A74C', '13CBBF01', '86462469', '6C8C34EA', '40732276', '8C3A6E6E', '161B84AA', '83BD6FD3', 'B48C8B5B', '3B04B07B', 'EF1E2D32', '7DA25BDF', '99ED62E0', '9D1D5901', 'D92C46C2', '92B170EC', '941BB037', '3651A98C', '9BF6FC2E', 'CF685C7A', '5266585E', '5D70B668', 'F73E9490', '226D1022', 'D3F7F138', '0B2A71B5', 'A8D3A431']",169,Died
creature_1,"['x_60', 'y_0']",38,"['F04678DB', '5C09DCD8', '363A52DF', 'B7D96505', '405D686B', '8E3EA63D', 'E5EE46D1', '055A651B', 'D4FC865E', '93F9BA51', 'DB5FE096', '8018CFCA', 'EF07398F', '758B8571', 'FE87C1FB', '06C3D047', 'D8E63D5C', '093F198C', 'C05B220E', '35F12B16', 'D136656B', '92F57023', '91927932', '53CCEAF6', 'E9902D16', '5E45EA18', 'D240D117', 'EC7777C4', 'B084C5DB', '26FFD2B3', '70A8E231', '8FAEA3E8']",169,Died
creature_2,"['x_79', 'y_1']",7,"['166093B4', 'D2B362B3', 'AD6FA25A', 'AA5FC42F', 'FFDBA7DA', '466DEA6A', 'C0AAF453', '7CED60C2', '0319878F', '0EDD847A', 'AD0E5941', '15F136F5', '0AEAA0C8', '216AD38D', '36528531', '3DAF3FE0', 'AEA610F8', 'CAB77FB7', '9F05126C', 'C8E7B5A6', '26D7E4A8', '4186A301', 'A38C12B7', '7C5E1BE7', '6664AC85', '1EC8998E', 'A9ABD133', 'BAFFAECF', '976E109B', '1A6C7E83', '783E04F7', 'E09C04DF']",169,Died
creature_3,"['x_109', 'y_127']",10,"['AD3D897D', '7967D45D', 'B522A14E', '4A84ABA8', 'B950D780', 'DBC38693', '42F8E0B4', 'FD969CAF', '7E82A920', 'A813E2B3', 'AC7CA737', '23E62732', '65574E07', '826824EE', 'AB2FB440', 'BBB05F28', '7243C559', '331AC6B5', 'D1516F13', '100BCD1B', '8C829DEB', 'C14B5181', '128F74F4', 'F0E29850', '8E49CF85', 'FDF72327', '14B00F84', 'D0B65F6E', '076BF22C', '5C471F25', '70F5DC24', '2F44DD6E']",169,Died
creature_4,"['x_69', 'y_15']",-21,"['10C507CD', '5828D526', '48630A6B', 'EB39812E', '749C2D7E', '5C21B3FA', 'E26DFE2D', 'A1D27F39', 'D454D5AC', 'E803FD6C', '5EA63451', 'DF2657E7', '8AEA7714', 'A02A77E7', 'B517C976', '14A45967', '084040BD', 'A82DD3C3', '30CA0131', '8A120886', '72E52DC0', '3F781218', 'A2BB76A2', '3A1E1476', 'CF48A67C', '076E1772', 'C033C13C', '7AC213FE', '19663D66', 'E81476AD', 'B731B36B', 'DDA1E055']",169,Died
creature_5,"['x_39', 'y_20']",11,"['9CA06FBA', 'A3531567', '6B27765C', 'E78216B1', 'B8DA5C83', '44CB43DF', '77A3E15F', 'B821859D', '60710120', 'B201CA09', '245F90A2', '3182992C', 'E0B2DE40', 'E9E90C19', 'BB04D517', 'E0060852', '002D86B3', '157D0EFA', '756758AC', 'E4A7C456', '3F8A7265', '2AAEA106', 'F00366C0', '55E723BC', 'D6D65BD2', '04F43D07', '0D36E61E', 'B38762EA', '313AAA35', '7581BBE8', '8CFF64B0', 'D78B9245']",169,Died
creature_6,"['x_0', 'y_55']",13,"['807BCB0C', 'D076ADEC', '898C8E8F', '10580385', 'ABEA5135', '965DF4E7', '7602940C', '341B7E13', 'C0805023', '6463EA9A', '1E080F95', 'B485E29B', '1C749732', '4D829C0A', 'A42709F2', 'E0F76611', '7C881AEE', 'FDB978CD', '175918FD', '21E6CD9D', 'C36C8A2A', '9A55BDF9', 'A07F4F56', '58713690', '1B52EEA5', '0B78405B', '1257C101', '3C509F02', 'DC0A629E', '10C281BD', '13FCD97E', 'F2BE34B5']",169,Died
creature_7,"['x_14', 'y_123']",9,"['7E39CB0B', '919E1C6A', 'BDCEF912', 'F59CD507', '8618E98F', 'FD42D456', 'F44ED277', 'BDCA87F5', '5B08F8CF', '71DB9E2D', 'D8223641', '36B10BF3', '4848A4BA', '6C0767FD', 'ED741136', 'BF1BC0B1', 'A3361496', '595CB3D2', '8F98993C', 'D2F4327C', '8D3C3D82', '85B52724', 'F59CF483', '6E099920', 'BA8706E1', '4A0E1894', '84BC3C85', '616CBE3A', '596935AD', 'CB0738BB', 'DD0678AD', '51678E6D']",169,Died
creature_8,"['x_0', 'y_76']",113,"['837EAE46', '0EDD212E', '5014E687', '35C1DA87', '47A476D1', '278F8806', '54EAE3ED', '31462448', '5F603DE7', '98AFD75F', '67F14100', '505E55A9', 'DB273777', 'A929EECB', '74F686D6', '56314A46', 'F18F6ACF', 'B774A5E0', '378270F9', 'C5EE47AD', 'B5A89E6F', 'BD244850', '1F3062A5', '3BF7EE06', '56E5E13D', '3F9B3CCE', 'E50EF864', '463A1603', '1D2322E7', 'B2576D8F', '5796F620', '3E964E31']",169,Died
creature_9,"['x_111', 'y_0']",10,"['41D89F3C', '01E75FC6', '4B2A4FD8', '9B12790F', '45D92245', '8C1EC8CF', 'CD7EA87E', 'EC0BF8FE', '9252AE59', 'BF15A228', '6F9313B6', 'FB6424B7', 'F517F5AB', '8FABF2D1', '896E572E', '8F0D84D5', 'DF51C23D', '60872407', '30FEE81B', 'AC826A5E', '134CE415', '51FD7C48', '1B7D1754', '79FC6437', '6226DDF0', '3AC73D42', '5D5C40DF', 'D24C75A7', '54F051C4', '1156DFBC', 'E5478245', '673220B9']",169,Died
