,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_127', 'y_1']",69,"['71A6FA8F', '5620CB5A', '5E5AB927', '11246023', 'BE7BA8CC', '4261B5A6', 'EE24E2C5', 'B44F5FB4', '069ED9CE', 'AA98A8C3', 'B99365F8', 'D6772EA1', '3A0BA2B8', 'CCD21C95', 'E53FDB77', 'BA46B542', '19E5F376', '413E3898', 'F554E3D6', 'DA8FABB8', '12F54B3B', '77E3B1BD', '6EEF9FBD', '961616BD']",74,Survived
creature_1,"['x_67', 'y_91']",11,"['9BD2D618', '6592EA41', 'DA43EE71', 'BC8C70B6', '7A02C29B', 'D8655378', '4C644A9F', '96D82C32', '6F7B41E8', 'FACAFCC5', '85EDC106', 'D5563153', '7E69E243', '52F51762', 'C6D419EF', '298AA7A3', 'AEDCFED7', '248F63A9', '15568013', 'B77308F1', '19ABC9D8', '42287BA9', 'A5ED708F', 'DB8BD988']",74,Survived
creature_2,"['x_127', 'y_2']",55,"['1716FEA1', 'A87A76D0', '4D97ED1D', '34F28262', '24694B2B', 'E862172B', '76178F2B', '9BC81D07', '279E9F00', 'FB7D8F73', 'DBE33862', '263BB140', '9D5AF544', '6DA153F2', 'B9CAD106', '316DFA07', '1E059C40', '982F2AF6', 'F6F34975', 'C72FF1A1', '575C0AA0', '7D9B85AE', '1E775BF3', 'B9B18DD4']",74,Survived
creature_3,"['x_98', 'y_72']",77,"['2A4EB9D9', 'C3339E13', '469ED840', '7723B010', '04257E2E', 'F1A8635C', '5BE2F445', '4AE8C1D0', '48327B76', '34B470D1', '4BB4A7FB', '6BC5B92B', 'B1F1209D', '4D10FFC5', 'FC67DD5B', '8467F786', '03292E70', '8B00B5EB', '2E20956D', '89AF3F8B', '61D7E3FC', '1F958EEA', '72349565', '109A91EC']",74,Survived
creature_4,"['x_118', 'y_89']",83,"['A5DD452F', '1E059C40', 'F62042ED', 'A4661574', '263BB140', '1BD6383B', 'D681C2B6', '34F28262', '2640C6BC', '0351AD17', 'C49B7BD4', '2FE5B84F', 'DBE33862', 'FB7D8F73', 'F9FF4849', '9B708CD1', 'CA5FE867', '5A1A8448', '660F5DCF', 'D6D98737', '5B0976B4', '9D5AF544', 'A87A76D0', '24694B2B']",74,Survived
creature_5,"['x_94', 'y_115']",40,"['E53FDB77', '82A971E0', '332B8D68', 'ABC46208', 'A8B3C548', '138EEF11', 'B9D5E521', '0D335A29', '7F12C314', '404AD0E5', 'DE61156E', 'C566921C', 'FB82961F', '3E5E5D09', '41EEE821', 'D095C35C', '8C7FCA6F', '706C9A7B', 'E5DCBB26', '069ED9CE', '7D8005DB', 'B44F5FB4', '19E5FB76', '1878130F']",74,Survived
creature_6,"['x_77', 'y_3']",10,"['CEB48686', '38A8AF24', '72C232DE', 'EE1A3CE3', 'BB867D8A', '1A270719', '99DDF8EA', '8E40F230', '2BA45D1D', '6BD1C257', '9775EEAA', '011698AB', 'D00B6E5A', 'BFCEB87D', '6519E1CD', '6DB11A89', '0122776B', '403AE6CE', 'FE19CE2A', '097832F8', '14857589', 'A82C486D', '4F308557', 'BEAFC3A8']",74,Survived
creature_7,"['x_127', 'y_39']",10,"['AA300E48', 'A66AE580', '5CA9FA4A', '5C683302', '66D1E5B9', '4CB97DEC', '93546C0A', '1B183384', 'E569C3DD', 'E378CED8', '4A075EE5', '4D1571EC', 'D9AAAC52', 'F73776A5', '8C5FD0E0', 'DFD016BE', '269FCF3C', 'CC414797', '80FAF446', '85B47DCE', '7D3C36AA', '6F3BBD77', '6F230C0E', '293B96A3']",74,Survived
creature_8,"['x_77', 'y_0']",84,"['A8B3C548', '41EEEC21', '02C57104', 'CA162FC7', '7F12C314', 'B3E7F24F', '71D783EB', '8F225AE8', 'B63E3C8E', '4FA3F74E', '3CA3996A', '95D52D0F', '3626D193', '027B3045', '4C823FD6', 'D095C35C', 'D9A71508', 'D91CE157', 'CF9DC8DB', 'A23D3B15', 'B346BA45', '3E5E5D09', '6971F1D5', '95988D02']",74,Survived
creature_9,"['x_44', 'y_125']",63,"['365F578A', 'FE19CE2A', '6BD1C257', '5B12E560', '38139798', 'B15BFABE', 'B18C6438', '05EBC4B2', '31F44C89', '097832F8', '6DB11A89', '6511E3CD', '1E99BD67', '2BA45D1D', '51A756D7', 'CA7EF37D', '93BEFC6A', 'C8C0517E', 'FA827655', 'FDB9E9AD', 'B3442B9C', '0A1F4507', 'DC5FC766', 'EE14AA42']",74,Died
