,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_97', 'y_10']",10,"['32BAD6BB', '4F92BDF7', 'D3E81921', '17E836A3', 'D4A9B32E', 'D9B874E7', '94CC6FBA', 'B70D4C6A', 'B9773331', 'EC397A2F', '3D380C40', 'EA0933B2', '86201304', 'F36F8F0A', 'FA369B46', '931D9B72', 'E4B60240', 'FFBCCB1C', '158EB1C5', 'BCE87C0F', '434E7B7A', '0D07EA2C', '470B7813', '85D95BBD']",2,Survived
creature_1,"['x_1', 'y_16']",12,"['BC7F57E5', '5FF3EC9A', '854CC366', 'FCB555A9', '8DFF6AEB', '8EAB4634', '2D6804A2', 'EF151E80', '92318AE0', '4EDF856B', 'A412E0B4', '9CB3E97D', '63EABB09', 'ACF5F37B', '49F2C1DB', '20C98325', '527BB660', 'FC3D181C', '3C47DEE9', '30C739E7', 'CB613479', 'CE27D28D', '36E13A36', 'CB312514']",2,Died
creature_2,"['x_108', 'y_27']",10,"['EB02546D', '94CC6FBA', 'C424EA04', '150AD1AC', '4F92BDF7', 'F838480E', '470B7813', 'EA0933B2', '30747A42', 'BCE87C0F', '3EF75A4D', 'EC397A2F', 'D4A9B32E', '0CF71E62', '86201304', 'FA369B46', 'F36F8F0A', '931D9B72', '15011479', '995241E2', 'A184BC86', 'D3E81821', 'FFBCCB1C', '8BB9E705']",2,Survived
creature_3,"['x_12', 'y_22']",10,"['6C3DC8BC', 'BB5D5A0F', 'EFE69429', '66B0E276', 'F7CE2487', 'CEEFCA93', '7B9C5C5C', 'EBBF4605', '82631F57', 'D63D1C83', 'D855D0C8', '35DEF5A7', '9F287682', '1E07916B', '7C54D1F5', 'F0D7F046', '73F118A4', '18A7E9DD', 'B34455D1', '0C73D4E2', '075B0A8D', '53297339', '394FF814', '7A8AFD05']",2,Died
creature_4,"['x_21', 'y_82']",12,"['65096FF7', '2E43F08B', '3915A2D0', '1B1A50B7', 'D8EE6A96', '75CFAE7A', '54469D26', '202E27E4', 'D56C6367', 'E72609C5', '8111345C', 'E7747689', '1CF693F2', '0B2210C7', 'DC072125', '569C70ED', 'E7A9B336', '6F16BE0C', '502157FC', '2EA0CCDF', 'ABF11DD9', '3188A116', '8E51C1D0', '61C45285']",2,Died
creature_5,"['x_25', 'y_71']",10,"['30052ADE', '94B78878', 'F9D0017F', '6E412B71', '4D314466', 'EA0B417E', '8E839638', '015D92E7', '4D1485DC', 'A0A7008B', '598F4168', 'D829182F', 'FF7CE332', '0C010054', '1C1AABB0', '781FC5C0', 'B5DF1E85', '12D559EA', '78E58CEA', 'E1B5E3EA', '82B926C0', '8E5A91DE', '81586E2C', '4E6990BA']",2,Died
creature_6,"['x_51', 'y_116']",12,"['62E88549', '2BF7DE67', '9E76F7A1', '48ABA443', '606F64CD', 'D3A22E14', '77ACA408', '7A1A2C52', 'ADC11838', '8977C3B8', 'C042044D', 'D31EA3C8', '12F4C13F', 'DC52E04D', '4009475D', '33470D1C', '2B4F5B22', '7BCD9FB5', 'DA4BC06C', 'C095FEC2', '109171D9', '62EA9336', '294192DF', 'DA86EB4E']",2,Died
creature_7,"['x_12', 'y_77']",10,"['CD08A2EC', '2CDFF98A', '01C19C82', 'D561572D', '33470D1C', '431387A7', '531FE13A', '6C76618B', 'C095FEC2', '48ABA443', '58E2D0C2', 'A977C3B8', '8073F3E9', 'B9FD24B8', '4AE33DFB', '82511540', 'C2C6F11D', '7A1A2C52', 'D3A22E14', '9E76F7A1', '6D4717BC', '9EF61989', '484ADFC4', '15A3365E']",2,Died
creature_8,"['x_122', 'y_125']",10,"['55C6284C', 'B476AAB6', '61C45285', 'B11DF5E5', '150AD1AC', '470B7813', '06B03F8C', '8563598F', '3188A116', 'B9773331', '0CF71E62', 'FA369B46', 'D9B874E7', 'F838480E', 'DD63FBEB', '8BB9E705', 'D56C6367', '6FC4E90B', '46982DA7', '85D95BBD', 'ACDC59F4', 'B70D4C6A', '86201304', 'C31ABDC7']",2,Survived
creature_9,"['x_125', 'y_92']",10,"['8870A4C7', '9EF61989', '80DE77FB', '41A74DAB', '36AA13D1', '9E76F7A1', '48ABA443', 'C72D5006', 'DC52E04D', '8828EBB7', '531FA13A', '68442661', 'D3A22E14', '6D8C3694', '2DFF3E94', '6AB3667D', 'CF745CBA', '0B620896', '8977C3B8', '8E0A4445', 'C095FEC2', '6C76618B', '802C1CAA', '15A3365E']",2,Survived
