,Coordinates,Oscillator_period
creature_0,"['x_100', 'y_110']",10
creature_1,"['x_58', 'y_16']",10
creature_2,"['x_113', 'y_76']",10
creature_3,"['x_107', 'y_110']",10
creature_4,"['x_38', 'y_8']",10
creature_5,"['x_125', 'y_113']",10
creature_6,"['x_22', 'y_56']",10
creature_7,"['x_74', 'y_32']",10
creature_8,"['x_126', 'y_60']",10
creature_9,"['x_75', 'y_104']",10
creature_10,"['x_123', 'y_126']",10
creature_11,"['x_50', 'y_78']",10
creature_12,"['x_10', 'y_96']",10
creature_13,"['x_126', 'y_8']",10
creature_14,"['x_9', 'y_30']",10
creature_15,"['x_75', 'y_102']",10
creature_16,"['x_80', 'y_127']",10
creature_17,"['x_39', 'y_29']",10
creature_18,"['x_7', 'y_0']",10
creature_19,"['x_54', 'y_35']",10
creature_20,"['x_16', 'y_4']",10
creature_21,"['x_67', 'y_44']",10
creature_22,"['x_31', 'y_32']",10
creature_23,"['x_25', 'y_101']",10
creature_24,"['x_7', 'y_16']",10
creature_25,"['x_37', 'y_95']",10
creature_26,"['x_33', 'y_110']",10
creature_27,"['x_81', 'y_108']",10
creature_28,"['x_111', 'y_41']",10
creature_29,"['x_98', 'y_20']",10
creature_30,"['x_71', 'y_82']",10
creature_31,"['x_121', 'y_99']",10
creature_32,"['x_19', 'y_115']",10
creature_33,"['x_115', 'y_8']",10
creature_34,"['x_80', 'y_46']",10
creature_35,"['x_88', 'y_36']",10
creature_36,"['x_23', 'y_40']",10
creature_37,"['x_118', 'y_7']",10
creature_38,"['x_9', 'y_10']",10
creature_39,"['x_89', 'y_44']",10
creature_40,"['x_101', 'y_0']",10
creature_41,"['x_115', 'y_33']",10
creature_42,"['x_28', 'y_61']",10
creature_43,"['x_24', 'y_36']",10
creature_44,"['x_71', 'y_28']",10
creature_45,"['x_39', 'y_36']",10
creature_46,"['x_96', 'y_83']",10
creature_47,"['x_33', 'y_17']",10
creature_48,"['x_120', 'y_87']",10
creature_49,"['x_107', 'y_104']",10
creature_50,"['x_66', 'y_53']",10
creature_51,"['x_51', 'y_46']",10
creature_52,"['x_119', 'y_42']",10
creature_53,"['x_1', 'y_112']",10
creature_54,"['x_33', 'y_105']",10
creature_55,"['x_96', 'y_81']",10
creature_56,"['x_92', 'y_9']",10
creature_57,"['x_11', 'y_79']",10
creature_58,"['x_39', 'y_89']",10
creature_59,"['x_48', 'y_92']",10
creature_60,"['x_100', 'y_63']",10
creature_61,"['x_2', 'y_61']",10
creature_62,"['x_127', 'y_0']",10
creature_63,"['x_104', 'y_3']",10
creature_64,"['x_116', 'y_90']",10
creature_65,"['x_9', 'y_68']",10
creature_66,"['x_99', 'y_56']",10
creature_67,"['x_90', 'y_115']",10
creature_68,"['x_71', 'y_34']",10
creature_69,"['x_27', 'y_44']",10
creature_70,"['x_117', 'y_32']",10
creature_71,"['x_78', 'y_103']",10
creature_72,"['x_104', 'y_108']",10
creature_73,"['x_52', 'y_41']",10
creature_74,"['x_95', 'y_21']",10
creature_75,"['x_91', 'y_77']",10
creature_76,"['x_6', 'y_116']",10
creature_77,"['x_8', 'y_113']",10
creature_78,"['x_49', 'y_88']",10
creature_79,"['x_77', 'y_43']",10
creature_80,"['x_3', 'y_61']",10
creature_81,"['x_98', 'y_45']",10
creature_82,"['x_100', 'y_9']",10
creature_83,"['x_6', 'y_76']",10
creature_84,"['x_95', 'y_124']",10
creature_85,"['x_29', 'y_97']",10
creature_86,"['x_85', 'y_21']",10
creature_87,"['x_33', 'y_46']",10
creature_88,"['x_42', 'y_116']",10
creature_89,"['x_115', 'y_34']",10
creature_90,"['x_33', 'y_98']",10
creature_91,"['x_10', 'y_46']",10
creature_92,"['x_16', 'y_61']",10
creature_93,"['x_0', 'y_50']",10
creature_94,"['x_93', 'y_37']",10
creature_95,"['x_81', 'y_95']",10
creature_96,"['x_114', 'y_18']",10
creature_97,"['x_83', 'y_8']",10
creature_98,"['x_41', 'y_111']",10
creature_99,"['x_66', 'y_95']",10
