,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_3', 'y_82']",10,"['48D81FF7', '62570DD9', '6D578E5B', '4BD9BE35', '852CEAF3', '7CA2E378', '4BE4AC14', 'BCC2DB17', '0ED08985', 'E23C0746', '5F5B95C6', '51E33499', '5EEEB868', '5BAD1EC1', '089376CB', 'ACCF6FC6', '4F9C64CC', '2E709B19', '1A1E1639', '0ED08985', 'C38E9399', '81E38E61', 'A663BD2D', '00874F20']",5,Died
creature_1,"['x_51', 'y_48']",10,"['2E709B19', '021B4C93', 'E2FF0C3F', '4BD9BE35', 'D8A2C7B5', '422704C9', '888E9F86', '48B9A270', '9A124B1B', '564E2F88', 'D151916F', 'D72E2E53', 'A9FEB58A', '39798B97', 'B9CBD954', 'A24192D4', 'E23C0746', '6A623546', '85A28F25', '7A5795F0', '01E38E61', 'F11CB07B', '4D1C4919', '75A9E8E4']",5,Died
creature_2,"['x_69', 'y_99']",12,"['6FADC810', '1DD0B586', '723874B5', '4D1C4919', 'B5F016EE', '2FFF55E7', 'EFDBA075', '01E38E61', 'D24BC2AB', '87545478', 'D2A8C21C', '7BF5FB79', 'B2F8AE75', 'D1205274', 'B199F36E', '48B9A270', '6DF4A7D8', '4F514A04', '300194EB', '270AD1AF', 'C08B4132', '9C06AE1E', '94B14325', 'AC2F8B34']",5,Survived
creature_3,"['x_114', 'y_52']",13,"['E7C1E68D', 'FF4C4CD8', 'B9E31710', 'AD91FE43', '94B6EB77', '7EADFA51', '222C6774', '54CA3CB2', '05C91B04', '9F8C017C', '34B355A1', 'B5E8070B', '734A02E9', 'B82D38D4', '8DFB59DD', '1EF48DD7', '32B25718', '099E126D', '1CC564A3', '49D81FF7', '6245F1BF', 'A052007B', 'ADDFBDD3', '3AACBEBB']",5,Survived
creature_4,"['x_36', 'y_81']",10,"['981CB492', '431E2C59', 'FA1F2A21', '0159BC4D', '5317C066', 'BF020C1D', 'F58C2DEE', 'DA4BF9FA', 'A052007B', 'D194AF96', 'ED449657', '48D81FF7', 'F3488F45', '6BACDBF0', '2F665B9F', 'ADDFBDD3', 'BEE01EAE', '60F2818B', '9A124B1B', '42EEF0A5', 'B5F016EE', 'F093F430', 'ED12B89E', '422704C9']",5,Died
creature_5,"['x_58', 'y_119']",13,"['54CF894D', '51E33499', 'ADDFBDD3', 'B9E31710', 'E20300B6', '6245F1BF', 'F58C2DEE', 'F3700060', '4BE4AC14', '0159BC4D', 'F093F430', '6DF4A7D8', '5EEEB868', 'A1264E4C', 'F2E3DF5D', '40E9FC38', 'B5E8050B', '48D81FF7', 'ED52B89E', 'C46D6228', '0ED08985', '6D578E5B', 'ED449657', '066B9A50']",5,Died
creature_6,"['x_75', 'y_37']",11,"['6CEAE810', 'DA4BF9FA', '259D5CEF', 'E12D67CA', '63B924DB', '39798B97', 'D194AF96', '9A124B1B', 'BFB5668C', '85309A28', 'A052007B', '993AD0CD', 'BEE01EAE', '60F2818B', '431E2C59', 'D2FB4DF8', '75A9E8E4', 'BDDA40B6', '734A02E9', 'A2BA6EE0', '16A82C7F', 'E10E0C4E', 'BDBD2B4A', 'DA4BF9FA']",5,Survived
creature_7,"['x_52', 'y_98']",14,"['C572C9C5', '27144423', '85309A28', 'DCEC0B93', '3AACBEBB', 'E4A2058A', '7810954F', '54CA3CB2', '06A66835', 'BFB5668C', 'BDBD2B4A', 'FA1F2A21', '259D5CEF', 'B4FBFAEE', '34B355A1', '16A82C7F', '86B0D5A1', '32B25718', 'A3E04A40', '0682BB23', 'AA78647E', 'B82CC2E8', '5981C07E', '63B924DB']",5,Died
creature_8,"['x_24', 'y_98']",15,"['B5E8070B', '4F9C64CC', 'F53E4B2A', 'C08B4132', '938D4A5B', '4D1C4919', 'B9E31710', '6245F1BF', 'F093F430', '7CA2E378', 'E2FF0C3F', '723874B5', 'AC2F8B34', '08677C44', 'D24BC2AB', '5F5B95C6', 'ACCF6FC2', '7BF5FB79', '48B9A270', '0DAFD47F', '066B9A50', '4BE4AC14', '5EEEB868', '1A1E1639']",5,Died
creature_9,"['x_43', 'y_42']",10,"['781B13B0', 'FBBA7EF2', '6A623546', '64A240DA', '1A1E1639', 'A1264E4C', '823BFD5B', '6E33BF14', 'E6965D13', '3C916569', 'F3700060', 'C38E9399', '07CE31EE', '6E33BF10', '48731CD5', '9E86D25E', '4163B8EB', '1DD0B586', '22ADB939', 'E48A4613', 'EDB26F21', 'F58D2DEE', '44E9DC38', 'BF020C1D']",5,Died
creature_10,"['x_101', 'y_113']",8,"['97A22BD1', 'A6BD425B', '867171B1', '24E2AACE', '846A43DB', '79510796', 'C7A6764C', 'C680574F', '7CA2E378', 'B87DBA40', '406A74BF', '1A8A989A', 'D2F74E99', 'F9872D91', '28FA1C1D', '1F34FA1B', 'B41850C9', '3C916569', '51E33499', '0159BC4D', '4BE4AC14', '28FA1C1D', 'E37705E7', '343F223F']",5,Survived
creature_11,"['x_89', 'y_13']",10,"['B9CBD954', '0DAFD47F', '01E38E61', 'A53C031A', '300194EB', '8B03C895', '328A65D2', 'EFDBA075', '34FEDF2C', '70280949', 'CD48A615', '05C91B04', '83777D0F', '75A9E8E4', '2E709B19', 'FA1F6A21', '066B9A50', '671B1C50', '888E9F86', '7810954F', 'DCEC0B93', 'F794E53B', '0ED08985', 'A2BA6EE0']",5,Survived
creature_12,"['x_84', 'y_111']",15,"['9DF4108B', 'E48A4613', '97A22BD1', 'C680574F', 'D2F74E99', '6DE77DCC', '0BAF9A8E', 'C7A6764C', '64A240DA', '28FA1C1D', '3E3F536B', 'FBBA7ED2', 'E37705E7', 'B69F71F3', '78D0D3B5', '70280949', '9E86D25E', '7810954F', '0159BC4D', '4ECA66B9', '5317C066', '4C270317', '695EAEE7', 'BCC3E63F']",5,Survived
creature_13,"['x_54', 'y_56']",10,"['2869ED72', '4D1C4999', '78D0D3B5', 'C369A9A8', '4BE4AC14', '993AD0CD', 'FF6F3A07', 'FB5203EA', '695EAEE7', 'D4BEB1B4', '089376CB', '7C0FEBB3', '00874F20', '9C074EC7', 'EB15C748', '54DEB32D', '34FEDF2C', 'EB73880F', '406A74BF', '9DF4108B', '98543581', '7E734CAA', '64A240DA', '56022208']",5,Died
creature_14,"['x_5', 'y_34']",10,"['19A01930', 'A537BA2D', '938D4A4B', '1FA366A6', '15AB0C95', '823BFD5B', 'C7A6764C', '15AB0C95', '697FC54B', '2FFF55E7', 'B87B6C83', '51E33499', '86380147', '376EE477', 'D4EE72EF', '619A19FB', 'D8A6C7B1', '6957879B', 'F11CB07B', '50BD1016', '82D5008E', '50BD1016', 'B87B6C83', 'A891E8EC']",5,Died
creature_15,"['x_28', 'y_36']",10,"['695EAEE7', 'E23C0746', '59289C60', '0DAFD47F', '952CEAF3', 'FF94E53B', '16A82C7F', '0BFE33B5', '4BEC71D4', '5BAD1EC1', 'D2A8C21C', 'A8927D03', '00874F20', '9A8D1A1D', '734A02E9', 'A6F7C2D9', 'B199F36E', '7E259074', '9DDE910B', 'F1C41CDA', 'DCEC0B93', 'DE88BE00', 'A24192D4', 'B49B728B']",5,Died
creature_16,"['x_79', 'y_111']",11,"['2F8861AD', '650927BF', 'EB15C748', 'AB50013B', 'D2FB4DF8', '7C0FEBB3', '44EBBE1B', 'FE9F99EB', '56C22A5C', '391C8B59', '846A43DB', 'AF76400E', '8B74C3A3', '720ABA60', '84ED14A0', '2FDB8B8E', 'FB5203EA', 'BB16E0AB', '00874F20', '7E734CA8', 'C51830AB', 'C369A9A8', 'B433E072', '56022208']",5,Survived
creature_17,"['x_24', 'y_65']",15,"['7EADFA51', 'ADDFBDD3', '75A9E8E4', '888E9F86', '4163B8EB', 'EDF4BE2A', '2FFF55E7', '9F8C017C', '49D81FF7', '42EEF0A5', '102E2EDE', 'B9E31710', '2FFF55E7', '54CA3CB2', 'B5E8070B', '7C9B1A48', '227C3242', 'AD91FE43', '96FFFEB8', 'B9CBD954', '222C6774', 'A47D4997', '15AB0C95', '17433375']",5,Died
creature_18,"['x_20', 'y_24']",10,"['C08B4132', '5BAD1EC1', '33CC5115', 'A1264E4C', '59B5905C', '671B1C50', 'EFDBA075', 'CD48A615', '36D7D391', 'C46D6229', 'FA1F6A21', '49184536', '0B1EB737', '6DF4A7D8', '421E555F', '66925040', '9A124B1B', '2FFF55E7', 'CDA794A0', '300194EB', '7810954F', 'E80074D8', '71ADF321', '23859CE3']",5,Died
creature_19,"['x_87', 'y_75']",10,"['0DAFD47F', '8CCF6FC6', 'D24BC2AB', '420A7618', '28FA1C1D', 'EB15C748', 'D060A246', '1DD0B586', 'C08B4132', '7C850CB5', '48D81FF7', 'B199F36E', '70280949', '4D1C4919', 'DD48A615', '33CC5115', '63198823', '431E2C59', 'AF09469D', '94B14325', 'BEE01EAE', '5BAD1EC1', '9C06AE1E', 'E2FF0C3F']",5,Survived
creature_20,"['x_41', 'y_59']",13,"['51E33499', 'B9CBD954', '6EA3E485', '2AB26CA6', 'B7C48EDB', 'AE4ACB5D', '7CA2E37C', '0BAF9A8E', 'F53E4B2A', 'AC155633', 'D85FE51D', '1CC544A3', '8C93BE0E', 'E93CF053', '8DFB59DD', 'E2FF0C3F', '535C053F', '2AF2C1E8', '94B14325', '63B924DB', 'C08B4132', '7A5795F0', '27144422', '10014520']",5,Died
creature_21,"['x_88', 'y_24']",10,"['0159BC4D', '9E86D25E', '8B03C895', '328A65D2', 'C680574F', '5317C066', 'B69F71F3', '3C916569', '5A4F5411', '97A22BD1', 'F493F430', 'AA78607E', 'A2BA6EE0', '4952C144', '3E3F536B', '00874F20', '1A8A989A', 'F11CB07B', 'C7A6764C', 'A53C031A', '0BAF9A8E', 'B41850C9', '28FA1E1D', '6DE77DCC']",5,Survived
creature_22,"['x_107', 'y_101']",8,"['328A65D2', '0177855B', '48B9A270', '036E962F', '6D578E5B', '7A5795F0', '021B4C93', '564E2F88', 'D8A2C7B5', '85D05E49', '9A092C9D', 'E10E0C4E', '0A3D5FD5', '0ADCDEA2', '19A01930', '0BAF9A8E', 'F11CB07B', '40E9DC38', '5DBB5CE7', 'D3273B45', '39798B93', '9A124B1B', 'E7F06AB4', '2F465B9F']",5,Survived
creature_23,"['x_68', 'y_119']",10,"['BB16E0AB', 'B9CBD954', '44EBBE1B', '082187E8', 'AB50013B', '08810B24', '63B924DB', 'C680574F', '7810954F', '6957879B', '90B98B82', '4745ED16', '8C93BE0E', '6EADFA51', '676F6CEC', 'D94914F9', '650927BF', '5981C07E', 'A47D4997', '2F6679FF', '5F681346', 'A53C031A', '6245F1BF', '1980D03E']",5,Survived
creature_24,"['x_110', 'y_93']",10,"['00874F20', 'E2FF0C3F', 'E6758D74', '59B5905C', 'CDA05AD8', 'E80274D8', '5E6898CA', '343F223F', '6245F1BF', 'DE88BE00', 'CA7C2949', '852CEAF3', '5901EE32', '6F04890C', '03539875', '4BEC71D4', 'C32B2D77', 'EEC4F192', 'B9E7AA0E', '4D1C4919', '603E58A7', '378A4568', 'FF94E53B', '49184536']",5,Survived
creature_25,"['x_101', 'y_125']",10,"['4E6898CA', 'EEC4F192', 'E23C8746', '49184536', 'E6758D74', '59B5905C', '85A28F25', '12772296', '378A4568', '421E555F', '6F04890C', 'DE88BE00', 'A24192D4', 'C97093CB', 'D2A8C21C', '7E259074', '343F223F', 'E80274D8', '5BAD1EC1', '852CEAF3', '089376CB', '6245F1BF', 'C1CE1081', '1B5BC2B8']",5,Survived
creature_26,"['x_124', 'y_10']",10,"['4F514A04', 'B5F016EE', 'B82CC2E8', '6FADC810', 'EDB26F21', 'F6DC4B5E', 'F3700060', 'A682B36D', '823BFD5B', '85309A28', '5BAD1EC1', 'B2F8AE75', '6E896B63', '99ACE7D4', '01E38E61', '270AD1AF', 'F093F430', '6A623546', 'FF4C4CD8', '4163B8EB', '05C91B04', '938D4A5B', '089376CB', '15FF1512']",5,Survived
creature_27,"['x_121', 'y_89']",10,"['9A09FD21', '343F223F', 'DE88BE00', '6F04890C', '49184536', '68434712', 'A371AB33', 'C08B4132', '59B5905C', '36D7D391', '4E6898CA', 'E80274D8', 'F89F3F08', '3DE4ABBE', '59E0F587', '59E0F587', 'E6758D74', '1B5BC2B8', 'FF6F3A07', 'B9E7AB0E', 'C1CE1081', '421E555F', '7E259074', 'AABDE606']",5,Survived
creature_28,"['x_120', 'y_107']",15,"['DBCEE202', 'EEC4F192', '4C60BD9C', '11CDAE63', '05C91B04', '94834E93', '3E14280E', '343F223F', '8A308EBB', 'A052007B', 'E09E950A', 'C5CEFFF9', '650927BF', '2E61C654', 'B5E80F0B', '97C69A14', '32B25718', '6CEAE800', '59E0F587', '34BB55A1', '867171B0', '0159BC4D', '04B18BF5', 'CF0075DE']",5,Survived
creature_29,"['x_106', 'y_64']",12,"['6810954F', '48D81FF7', '05C91B04', '01E38E61', '5BAD1EC1', '7810954F', 'A3E04A40', 'FA1F6A21', 'B82D38D4', '83777D0F', 'BAA07861', '12772296', '9A124B1B', 'A1264E4C', 'A663BD2D', 'B199F36E', '4A6BA347', '2FFF55E7', '6DF4A7D8', '938D4A5B', '671B1C50', 'DA4BF9FA', 'F3700060', '70280949']",5,Survived
creature_30,"['x_98', 'y_119']",10,"['B61AC846', '0A3D5FD5', 'D151916F', '85D05E49', '036E962F', 'F3488F45', 'DB91ECD9', '8127CEFD', '8AD28DA3', '4952C164', 'D3273B45', 'C3D0F889', '0BAF9A8E', 'E23C0746', '59B5905C', '6D578E5B', 'D4EE72EF', 'C32B2D77', 'FAD03943', '7CA2E378', '51E33499', '14CCDBA0', '40E9DC38', '15AB0C95']",5,Survived
creature_31,"['x_104', 'y_54']",15,"['85A28F25', 'C46D6228', '364F3BAA', '2FFF55E7', '34FEDF2C', 'ADDFBDD3', '823BFD5B', '41528354', '5F5B95C6', '62570DD9', '3C916569', '85309A28', 'F2E3DF5D', '51E33499', '4BEC71D4', '270AD1AF', '0159BC4D', 'C97093CB', 'F3700060', '8AD28DA3', '54CF894D', '0DAC9D8D', '005E6042', 'BCC3E63F']",5,Survived
creature_32,"['x_57', 'y_26']",10,"['21C3E18E', 'E4BDD248', '391C8B59', '782579D4', 'C1CE1081', '6D578E5B', 'B9E7AA0E', '535C053F', 'DB91ECD9', '2AB26CA6', 'E7257345', '59289C60', '3AB1853E', '2830602E', '143CFE50', '40874F20', '2AB26CA6', '2F9AB24D', 'F2E3DF5D', 'E2FF0C3F', '85309A68', 'AE4ACB5D', '7CA2E378', '8DFB59DD']",5,Died
creature_33,"['x_94', 'y_124']",10,"['9C06AE1E', '84AD14A0', 'A682B36D', 'C46D6229', '34FEDF2C', 'BB16E0AB', '1980D03E', '888E9F86', '48E11CA3', 'E4A2058A', 'EFDBA075', '6957879B', '5BAD1EC1', '5F681346', '7810954F', '6DF4A7D8', '671B1C50', '85D05E49', '2F6679FF', 'D94914F9', 'C38E9399', '3C916569', '650927BF', 'CD48A615']",5,Survived
creature_34,"['x_121', 'y_56']",10,"['79510796', '9A8D1A1D', '33076942', '51E33499', '4E7C63E9', '1F833016', 'E37705E7', '7CA2E378', 'F1C41CDA', '421E555F', '70A3BEE6', '59B5905C', '24E2AACE', '343F223F', '0D9E5E32', '1A8A989A', '08810B24', 'B49B728B', 'E8F03963', '9DDE910B', 'CA742949', 'B9E7AB0E', '59289C60', '575274FB']",5,Survived
creature_35,"['x_70', 'y_45']",10,"['28FA1C1D', '305DF2C4', '07CE31EE', '97A22BD1', 'C680574F', 'E37705E7', '0FA878B0', 'E12D67CA', 'D060A246', '8CFBE30E', '97A22BD1', '4952C164', '5317C066', 'B69F71F3', 'D194AF96', '6DE77DCC', 'DA4BF9FA', 'A4238975', 'E48A4613', 'CCFEC10A', 'F58352EC', '4952C164', 'B61AC846', '20D794DE']",5,Survived
creature_36,"['x_40', 'y_79']",10,"['7C9B1A68', 'C97093CB', '28FA1C1D', 'F58D2DEE', 'E48A4613', '17433375', '036E962F', '4163B8EB', 'EA3C862A', '102E2EDE', 'FBBA7EF2', '6BACDBF0', '64A240DA', 'EB73890F', '51E33499', '2FFF55E7', '753E4B2A', '005E6042', 'DB91ECD9', '1DD0B586', '2DBF6AE2', '87545478', 'B9CBD954', 'EDB26F21']",5,Died
creature_37,"['x_112', 'y_17']",10,"['9A092C9D', '2F465B9F', 'FF94E53B', '9A124B1B', 'D72E2E53', '4163B8EB', '5901EE32', 'E23C0746', '603E58A7', '0DAFD47F', 'E23C0746', 'D2A8C21C', 'E2FF0CBF', '364EFAAD', 'DD48A615', 'E10E0C4E', '852CEAF3', 'B199F36E', '00874F20', 'B82CC2E8', 'F11CB07B', 'E7F06AB4', '888E9F86', 'DCEC0B93']",5,Survived
creature_38,"['x_77', 'y_40']",10,"['B82D38D4', 'E2FF0C3F', '6DE774CC', '9183DFB1', '4A6BA347', 'E7C1E68D', '20D794DE', 'C2F74E99', 'A663BD2D', 'F3700060', 'D779EFB7', 'FAA07861', 'A3E04A40', '6245F1BF', '12772296', '7CA2E378', '94B6EB77', '85309A28', '48D81FF7', '41528354', 'AC155633', '938D4A5B', '63198823', 'CCFEC10A']",5,Survived
creature_39,"['x_65', 'y_4']",9,"['2AF2C1E8', '85D05E49', '1A1E1639', '270AD1AF', '066B9A50', '10014520', 'C408F39D', 'C680574F', '1DD2B586', 'ACCF6FC6', '5EEEB868', 'B9CBD954', '23859CE3', '7A5795F0', 'F53E4B2A', '48D81FF7', '4BE4AC14', '54CF894D', '51E33499', '0BAF9A8E', '5F5B95C6', '7D7DF104', 'F093F430', '4F9C64CC']",5,Survived
creature_40,"['x_44', 'y_64']",10,"['D779EFB7', 'D2A8C21C', '08677C44', '0FA878B0', '5BAD1EC1', '0ED08985', 'C3D0F889', '48B9A270', '0DAFD47D', '5EEEB868', 'D3273B45', '36D7D391', '07CF31EE', '9C06AE1E', '2E709B19', '70280949', '9C9E687F', '4A6BA347', '7BF5FB79', '603E58A7', 'C08B4132', '10014520', 'F4C2B9B8', 'AC2F8B34']",5,Died
creature_41,"['x_22', 'y_117']",10,"['ED449657', 'BB16E0AB', 'ED12B89E', '2FDB8B8E', '85309A28', '48D81FF7', 'F58C2DEE', '650925BF', '39798BB7', 'ADDFBDD3', 'C46D6228', '256823B9', '5317C066', '981CB492', 'A1264E4C', 'AB05819B', 'BF020C1D', 'E22300B6', '84ED14A0', '40E9FC38', '39E4008A', 'E37705E7', 'AB50013B', '56C22A5C']",5,Died
creature_42,"['x_122', 'y_32']",10,"['36D7D391', '938D4A5B', 'E7F06AB4', '58312E73', '9A092C9D', '9A124B1B', 'F6DC4B5E', '773ED85C', 'D151916F', '39798B97', '888E9F86', '2F465B9F', '364EFAAD', '5FBB8B1A', 'B82CC2E8', 'C08B4132', '7A5795F0', '981CBC92', 'EB3FBF72', 'DD48A615', '3F407219', '710C2730', '021B4C93', '6FADC810']",5,Survived
creature_43,"['x_66', 'y_2']",10,"['B9CBD954', 'D3273B45', 'F11CB07B', '85D05E49', '7CA2E378', '40E9DC38', '14CCDBA0', '420A7618', '7CA2E378', '8127CEFD', '00874F20', 'E23C0746', '9C9E687F', '0ADCDEA2', '21C3E18E', '0A3D5FD5', '2F9AB24D', '0BAF9A8E', '63198823', '6D578E5B', 'B61AC846', '28FA1C1D', '9183DFB1', '0177855B']",5,Survived
creature_44,"['x_38', 'y_104']",9,"['22ADB939', 'DBE76692', '9A092C9D', '10014520', '564E2F88', '48C11CA3', '07CF31EE', '3E3F536B', '23859CE3', '4D5191EB', 'C408F39D', 'A4238975', '2DBF6AE3', '1DD0B586', 'FF5203EA', '0177855B', 'FBBA7EF2', 'E6965D13', 'F58D2DEE', 'A52FFC44', '021B4C93', 'E7F06AB4', 'C7C002A8', '18312E73']",5,Died
creature_45,"['x_110', 'y_57']",12,"['9C06AE1E', 'FF4C4CD8', '4D1C4919', '8DFB59DD', 'B9E7AA0E', '1DD0B586', '5981C07E', '5BAD1EC1', '32B25718', 'C08B4132', '7BF5FB79', 'CE9A0341', '34B355A1', '48B9A270', '33CC5115', '6245F1BF', '0DAFD47F', 'AC2F8B34', '723874B5', 'B82D38D4', 'E2FF0C3F', '6CEAE800', '2E709B19', 'C1CE1081']",5,Survived
creature_46,"['x_82', 'y_122']",15,"['7C0FEBB3', '4D1C4999', '391C8B59', 'C51830AB', '993AD0CD', '3A827CFE', '00874F20', '9C074EC7', '63EF7F5F', '62570DD9', '720ABA60', '9DF4108B', '64A240DA', '113A299F', '79510796', '575274FB', '8B74C3A3', 'EB73880F', '4BE4AC14', 'A681C3ED', 'FBBA7EF2', '2869ED72', 'C7A6764C', '70280949']",5,Survived
creature_47,"['x_33', 'y_101']",10,"['07CF31EE', '4A6BA347', 'C3D0F889', 'C5CEFFF9', '0FA878B0', 'E09E950A', '04B18BF5', '8CFBE30E', '17C33375', 'E2FF0C3F', '59E0F587', '44EB9851', 'B9E7AA0E', '94834E93', 'CF0075DE', 'B87DBA40', '8CCF6FC6', '73686BCC', 'DBCEE202', '2E61C654', 'D779EFB7', '4952C164', '5EEEB868', 'E12D67CA']",5,Died
creature_48,"['x_10', 'y_79']",13,"['00874F20', '81E38E61', 'D2A8C21C', 'E23C0746', '6E33BF10', '1A1E1639', '089376CB', '6A623546', 'F3700060', 'C38E9399', 'B9CBD954', '7810955F', '0DAFD47F', '48B9A270', '0A3D5FD5', '0ED08985', '823BFD5B', 'FF4C4CD8', '15DF1512', 'A3E04A40', '85A28F25', 'A682B36D', 'A24192D4', '5BAD1EC1']",5,Died
creature_49,"['x_80', 'y_108']",10,"['E09F950A', '4C60BD9C', '5B6CBE8F', '04B18BF5', '1DD0B586', 'A52FFC44', 'E2784CFB', '44EBBE1B', '6B8CDBF0', '28FA1C1D', '2E61C654', 'F53E4B2A', 'E48A4613', '036E962F', 'D94914F9', 'EEC4F192', 'FF7A5665', '781B13B0', '6E33BF10', '1A8A989A', '9E86D25E', '59E0F587', 'E6965D13', 'EA3C862A']",5,Survived
creature_50,"['x_57', 'y_53']",10,"['85A28F25', '41528354', 'DCEC0B93', '62570DD9', '86B0D5A1', '0159BC4D', '2FFF55E7', '981CB492', '5F5B95C6', 'F093F430', '27144423', 'F3700060', '54CA3CB2', '7810954F', '823BFD5B', 'C46D6228', 'D5915925', '270AD1AF', 'AA78647E', 'E12D67CA', '49061F4D', 'C572D9C5', '5981C07E', 'B2F8AE75']",5,Died
creature_51,"['x_108', 'y_10']",10,"['A2BA6EE0', 'B199F36E', 'E23C0746', '2E709B19', 'EDD4BE2A', 'A663BD2D', 'F11CB07B', 'A3E04A40', '714A02E9', '4D1C4919', 'F3700060', 'A24192D4', '0ED08985', '4BD9BE35', 'F493F430', '42F07A33', '328A65D2', 'B9CBD954', '71256802', '00874F20', '85A28F25', 'B82D38D4', 'F794E53B', '0DAFD47F']",5,Survived
creature_52,"['x_29', 'y_84']",10,"['1F79D8B6', '575274FB', 'B4CE0843', '34FEDF2C', '14CCDBA0', '695EAEE7', 'A681C3ED', '993AD0CD', 'BCC3E63F', 'B82D38D4', '2A78607E', '4745ED16', '4BE4AC14', 'EDF4BE2A', '4ECA66B9', '143CFE50', '64A240DA', '364F3BAA', '62570DD9', '59B5905C', '113A299F', '54CF894D', '2869ED72', '3A827CFE']",5,Died
creature_53,"['x_103', 'y_100']",8,"['A4238975', 'E80274D8', 'DA4BF9FA', 'EEC4F192', '420A7618', 'C1CE1081', '305DF2C4', '6F04890C', '421E555F', '68434712', '97A22BD1', 'F58352EC', 'DE88BE00', '4952C164', '59B5905C', '59E0F587', 'CA7C2949', '3DE4ABBE', '7E259074', '1B5BC2B8', 'B61AC846', 'E7F26AB4', '10014520', '4952C164']",5,Survived
creature_54,"['x_50', 'y_87']",10,"['2AB26CA6', '1CC544A3', 'E2FF0C3F', 'C08B4132', 'D85FE51D', '752808AC', 'AC155633', 'D24BC2AB', 'D2A8C21C', '1DD0B586', '59289C60', '48B9A270', '7CA2E378', '4BE4AC14', '51E33499', '6245F1BF', 'C1CE1081', '3AB1853E', '8DFB59DD', '70280949', 'B9E7AA0E', 'F2E3DF5D', '08677C44', '7DD28208']",5,Died
creature_55,"['x_56', 'y_108']",15,"['364EFAAD', 'C08B4132', '422704C9', '5DBB5CE7', '2F465B9F', '23859CE3', 'D151916F', 'F11CB07B', 'D72E2E53', '7A5795F0', '65B51D8B', 'DD48A615', '888E9F86', 'EB3FBF72', '68434712', '2AF2C1E8', 'D8A2C7B5', '66925040', 'E10E0C4E', '0B1EB737', '36D7D391', 'E6758D74', '421E555D', '33CC5115']",5,Died
creature_56,"['x_63', 'y_37']",10,"['48731CD5', '96FFFEB8', '305DF2C4', 'EEC4F192', 'B9CBD954', '59E0F587', 'C1CE1081', '9A124B1B', '85D05E49', '0BAF9A8E', '8A308EBB', '036E962F', 'FF6F3A07', 'B9E7AB0E', 'DE88BE00', '6F04890C', '59289C60', '1B5BC2B8', 'E2FF0C3F', '7E259074', 'AD91FE43', 'AD447A97', '5317C066', '378A4568']",5,Died
