,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_46', 'y_16']",10,"['B8174C81', '50E628E0', '9A1B70FA', '99F490F4', '0551CF5A', 'BD6B044C', '2B2987E3', '09124A96', '9AA16901', '7AE2F673', '186C0424', '517EFE1A', 'A84BEDE6', '1AAD16CD', '3A7CE237', 'E0527A76', 'FE793CFE', '79982ABE', '6CA30913', 'BB621AE2', '395D0DE6', '0AC31EFF', '885DE127', '9FAAAD24']",1,Died
creature_1,"['x_64', 'y_127']",10,"['94AAF60C', 'DEA7DEE9', 'BB264F01', 'C321E1DF', '6DC2D868', 'C5451121', 'EA9769BD', 'BB6DD3ED', 'E57B1FAF', '50E628E0', '85DF3750', 'CEBD3D9A', '53B3DDF2', '1170F6FF', 'FB8BDE72', '8E121B6A', '8C82400B', '6208386B', '5E98C878', 'A216C22E', 'B9650656', '080E0AB8', 'DCEA7500', '252A8921']",1,Survived
creature_2,"['x_26', 'y_29']",11,"['8C9FECD4', '61E4FF4B', '7571C3B4', 'E69F0D25', '0C649B20', 'E1A9D88F', '9C23A1CC', '28D47FF9', 'CF5C5DFC', 'C5DB3967', '6AC7278A', 'CEA23B3F', '252A8921', '27DB47B0', '5CE5EC6A', 'F3518205', 'A343F8D3', '43C49470', '885DE127', '753A74FE', '4D646B11', '5E15F857', '257C0562', '5F5C7C5D']",1,Died
creature_3,"['x_110', 'y_4']",10,"['A279FB41', '8B57C9D9', '9A6FA912', 'DE33D0AB', '629A6364', 'A7F684A2', 'A812B3C5', 'D09202B4', '25B01346', 'F4986518', '3D01C3E4', 'B1B5B752', '68C83D7E', '4C51509D', '8849B42D', '405E22C3', '29B8BB44', '351B1597', 'E0803645', '9FAA0BFD', '4C33CF58', '556A3F95', '6BC0B8C6', '7D01C3E4']",1,Survived
creature_4,"['x_50', 'y_81']",10,"['6E8F300A', 'BB6DD3ED', 'CEBD3D9A', '82ABE768', '3DAA1A58', '0FD1630B', '8D92B790', 'DA7F51C4', '99F490F4', '9FAAAD24', '0F7F71C3', '3EAF5CCD', '7CD9E34E', '9DB8C4B9', '506ED6C1', 'F55AF0A1', '232D32E7', '28B10C3D', 'A216C22E', '5CE5EC6A', '8396968F', '6D0DE226', 'F19C1F3E', '257C0D62']",1,Died
creature_5,"['x_37', 'y_109']",11,"['00761A9E', '8F4D9DDA', 'D5D296E8', '5A395098', '63E63B08', '4ECCEDDE', '1FADF086', 'E57B1FAF', '63AF1B3A', '9004A11F', 'C8D87577', 'BBB2430D', '9B6D7537', '0AD059C1', '0AC31EFF', '6931EB58', '29B8BB44', 'A0A6B296', '622E03B3', '6931EB58', '4F710318', '52448E5C', 'ECEB1433', '4ECCEDDE']",1,Died
creature_6,"['x_35', 'y_60']",10,"['1B88E333', '9979D4C1', '6AC7278A', '41D0C689', '2C064D31', '28D47FF9', '67FFE663', '9FAB0745', 'E1DEF477', '0D1D5C64', '5E89EA6B', 'A45641E9', 'BB621AE2', '9004A11F', '0D6D91C6', '78DCB82C', '517EFE1A', 'B60C35BD', 'C8D87577', 'AA9707B3', 'DFA06EB3', '336987E3', '3752B956', '0551CF5A']",1,Died
creature_7,"['x_89', 'y_24']",10,"['915CE6D1', '94AAFE0C', '229E0649', '3B94C42D', 'EFDD3D9F', 'FB5432AC', 'DA984C7A', 'DEA7DEE9', '218FFB74', 'F4044D76', '4180BB60', 'A348007A', '53B3DDF2', 'F3518205', '00291AC2', 'AC7A9BDE', 'DCEA7500', '54109D5A', '8C82400B', 'C321E1DF', 'EA7B8B4A', 'A216C32E', '75390989', '9541E701']",1,Survived
creature_8,"['x_127', 'y_124']",10,"['C5DB3967', 'E57B1FAF', '52448E5C', '6E31DC5B', 'DE33D0AB', 'ECEB1433', '4ECCEDDE', '0C641B20', '0AC31EFF', 'B9552720', 'B68D6C0B', '211D5A11', 'BBB2430D', '9A1B70FA', 'D09202B4', 'A279FB41', 'CD098C71', 'AC7A9BDE', '140FAB48', 'A7F684A2', '6931EB58', '67FFE663', '9AA27761', 'FF61E041']",1,Survived
creature_9,"['x_36', 'y_30']",11,"['F2ECBD24', 'B60C35BD', '5E89EA6B', '94AAFE0C', 'AE9B549F', '53B3DDF2', 'E57B1FAF', '6208386B', '18DB2C09', '2C064D31', '9004A11F', '41D0C789', '5E15F857', 'EFDD3D9F', 'C8D87577', 'D5D296E8', '252A8921', 'A216C22E', '28055C44', '075DDA0E', '1170F6FF', '75390989', 'DA984C7A', 'DEA7DEE9']",1,Died
