,Coordinates,Oscillator_period,Genome,Age,status
creature_14,"['x_88', 'y_0']",10,"['9730AC0C', '0626483B', '599B32C2', '31E39683', 'D35BC59B', 'CA1EE4A6', '1A0658C6', '92BC437F', '069CDEDC', '18E9A007', 'D6F108B0', 'A2A9E2C6', 'ED00EE27', '133192FE', 'EC0F0605', 'DD02FD77', 'C33F8FB0', '3C4B6BB3', '2F32A9E2', 'B2C193E2', 'D25A8218', '3E56C874', 'AD3C7D51', 'ED8D9DD8']",54,Survived
creature_15,"['x_120', 'y_34']",10,"['398B8F2B', 'AE047E54', 'D56449E0', 'A874B06D', '1CA01C7E', 'A7C20EC2', 'B24193E2', '8FBE4AC1', 'ACD8D8EF', 'AD71C07A', '1A91A40E', '99BDCF85', '823F51F1', '20D08D9F', '394A2BA7', '9C4E4EAE', '7A5AE4B5', '7E9F5D1A', '32EA3D99', 'EC7DF3C5', '41F946D6', 'D35BC59B', 'B8914E04', '2BDED654']",54,Survived
creature_16,"['x_9', 'y_49']",11,"['2C454444', '4B3A6399', 'DABA7092', '133192FE', 'F6EA182F', 'B917B97D', '87F22AAD', 'F1B23DCA', '843D6D41', 'B24193E2', '1BF78A11', 'D8D5BB35', '26CE880F', '064CB1C6', 'A48A2913', '9D772F33', '9832D565', '4334E10E', 'CA1EE4A4', 'F0597D7A', '87F22AAD', '71ABC68B', '4409C73F', '60F19A35']",54,Died
creature_17,"['x_32', 'y_108']",64,"['F7263667', 'E6001543', '1723419E', '92BC437F', 'C53D8C2F', '133192FE', '05EEB1BC', 'AC809E3D', '896B334E', '9C4E4EAE', '232FD0B5', 'BCC5E65D', 'C53D8C2F', '5BBC634A', '57423438', 'EF82611F', '3CEABD3C', '5ADB1A45', '0ED10587', '283B7DEC', '148BB3D0', '3830F23C', 'ACDE3490', 'CA1EE4A6']",54,Died
creature_18,"['x_33', 'y_127']",64,"['CB4D823B', 'CF1A7C2D', '9F5708FD', '5672E485', '232FD0B5', '05EEB1BC', '9D772F33', 'D890060B', 'F7263667', 'EF82611F', '133192FE', '6EB67317', 'FFDC28ED', 'A68AB4F8', '462B3B1A', 'CCE17E01', '19F85497', '5ADB1A45', '17EB80B8', '92BC437F', '3EE1F875', '3875B979', '6F93B739', 'E55BA5F7']",54,Died
creature_19,"['x_112', 'y_24']",10,"['05C72989', '4CFD7D43', '3BD57131', 'EF82611F', 'D125132E', '064CB1C6', '41F946D6', '3B8844DE', '19F54324', '9C4E4EAE', 'FE7B6B7A', '133192FE', '87F22AAD', 'B928B8E5', 'AD07397E', '8ACD51C4', 'A0B4D907', '7E57851A', '7E753A16', '32EA3D99', '6F93B719', '199C0289', '8FBE4AC1', '35847A1E']",54,Survived
creature_20,"['x_127', 'y_6']",10,"['C8BD1162', '20E632BB', '22919B9F', 'CFCD02D5', 'ED4C675A', 'D7F06CA2', '93FC3ECE', '9C4E4EAE', '8E2F6A08', 'EB6C492D', 'DE0142E9', 'B86D6C30', '823F51F1', 'D35BC59B', '8E08943C', 'D698BFD3', '1D98EE7A', '6EDF0F54', 'D35BC59B', '3C98EC06', 'B0AD876C', '3515223E', '1A91A40E', 'ACDE3410']",54,Survived
creature_21,"['x_93', 'y_16']",61,"['60F19A35', '08F1ACFF', '133192FE', 'C87FFC02', 'D7FEF809', '398538F0', 'CA1EE4A4', '4B3A6399', 'DABA7092', 'CF0511AD', 'BBA6E96F', '93FC3ECE', '064CB1C6', 'DEC8F315', '1BF78A11', '5ADB1A45', '7E57851A', 'A48A2913', 'E55BA5F7', '133192FE', '1D98EE7A', '3830F23C', 'FE927C1A', '3875B979']",54,Survived
creature_22,"['x_89', 'y_18']",10,"['4334E12E', 'D27BFA9B', '32EA3D99', '3B8844DE', 'B0C64ACB', '99BDCF85', '4D323709', '26CE880F', 'B24193E2', 'FBE28D74', 'F0857A2C', '8E08943C', '04E878A8', '1BF78A11', '11DF29E8', '8ACD51C4', 'E6001543', '4409C73F', '9D772F33', 'D1FF16F6', '1723419E', 'EF82611F', '67813217', '54A079C6']",54,Survived
creature_23,"['x_11', 'y_110']",51,"['77972078', 'DABA7092', 'EF15A67E', 'BFAFD62E', '6F191C90', '199C0289', 'D09A0208', 'B928B8E5', '1619E8BF', '211B71E6', 'AF578011', '01760337', '2FD158BF', '8DC5BF52', '75A9B0D7', 'ED4D675A', '48D2AD62', 'BF160B2D', '358FD000', '87F22AAD', '8E2F7A08', '1F8C0E23', '79E26353', 'F5C6C971']",54,Died
creature_24,"['x_43', 'y_0']",10,"['3B951B04', 'A65EC04D', '2BDED654', 'F6E48655', '3CADE829', '358FD000', '854E867A', '0B10F105', '310BA5F0', '59D68293', '398087EE', 'AE8C7899', '6E6629E9', 'CA1EE4A6', 'E6001543', '5779B169', '80B2F9D2', 'AE0D29A3', '47B83253', '421FD0F6', 'BC6E2962', 'DABA7092', '4D323709', '7300C5C4']",54,Died
creature_25,"['x_65', 'y_25']",7,"['1A91A40E', '7517B544', '8E08943C', 'D698BFD3', '133192FE', 'AE047E54', 'D698BFD3', '398B8F2B', '823F51F1', '98E417BC', '65018592', '26D96DE7', 'D35BC59B', 'A7C20EC2', '394A2BA7', 'ED4C675A', '9C4E4EAE', '93FC3ECE', 'CA1EE4A6', '20D08D9F', 'D35BC59B', 'B8F4F3A4', '26D96DE7', '3A66D717']",54,Survived
