,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_5', 'y_86']",10,"['597258F2', '4AF24028', 'F9205024', 'FBDD7374', '8FF90D82', 'A2EC207F', 'C2D096FB', '78BDF407', '527B4AA4', '1F4549DA', '36521AB7', '50408AD4', 'E928A5A8', '1BB7307F', '60534A3C', '2B0B2C59', 'CEDAC477', 'D32E2C65', '086444B1', 'B7055701', 'FB14E52B', 'C46061D7', '0A9F405D', 'B93CCA38']",3,Died
creature_1,"['x_19', 'y_3']",10,"['515C8F7B', 'D32E2C65', '55CE2861', '652A9A8E', '03186110', '4AF24028', '8D05D674', '6725E037', '2B0B2C59', 'DC4C301E', '1F4549DA', '4AF24028', 'C257790B', 'A999BCD9', '9AC0A815', '7A4E5E97', '6BDADBE5', '1E0259C4', 'DF1740C9', 'C2D096FB', 'DF1740C9', 'D32E2C65', '757FADD7', '0A9F405D']",3,Died
creature_2,"['x_17', 'y_87']",10,"['9182B03B', '4328D945', 'DC4C301E', 'B976CB78', '441AF162', '6CE19FCA', 'D72EA532', 'A496ABFF', '7A3A463E', '7E931C4B', 'A0FEE3CC', '76193CE5', '795D8140', 'A79762BD', '6AE97283', '9527DD0D', '6BDADBE5', '63990607', 'A1F7076F', 'DC4C301E', '0ADE690C', 'D72EA532', 'E63CABCF', '90BF6D06']",3,Died
creature_3,"['x_42', 'y_68']",10,"['810205A3', '8DDA0C98', '7CE336A4', '0782BE62', '4D0275F2', '78BD48B6', '436C4EF2', 'DC4C301E', '10F831B9', 'B4323DFF', 'FBDD7374', '60534A3C', '0E49D628', '1EFA0B91', 'F5F6CF02', '026BB629', '8DC92091', 'DA0AF1A1', 'F11CBD71', '3A27611E', '6C495EDF', '63990607', '04C48B60', '93D00D56']",3,Died
creature_4,"['x_43', 'y_25']",11,"['9A07E399', '79F4744F', '2FD3F2B6', '1F4549DA', '8AD0F747', 'C34B7D44', 'C46061D7', '795D8140', 'FEF362BC', '2927E197', '9E6B90C9', '1CDE314D', '8FF90D82', '95F1C7AF', 'D32E2C65', '52B6042A', '527B4AA4', 'F9205024', '0CEBE881', '90BF6D06', 'E928A5A8', '36521AB7', 'A2EC207F', '430279D3']",3,Died
creature_5,"['x_12', 'y_47']",10,"['02652037', 'AB7B3A07', 'BCFCB970', '721851FB', '2464C177', '8402C593', 'C257790B', '3F7C3F0E', 'D18FD72E', '0D1FDAFF', 'F32B06E7', '8C60E31B', '138CE968', '829CF5B1', '527B4AA4', '0B5CF0EE', '1AE7864E', '56252F46', '121DBCB2', '79205024', '0C89EF60', '17487133', '4900D205', '6353ADDD']",3,Died
creature_6,"['x_106', 'y_80']",12,"['DC4C301E', 'D5A30AB6', 'E63CA3CF', '6D0F8929', 'C340938E', '3F3AE33B', '23648F8C', '6200F0A3', 'B3458FF6', 'D72EA532', 'B0112423', '33EDD607', 'BB6CDC3C', '63990607', '0780BE62', 'CB1210E4', 'B976CB78', '7E931C4B', '5C47E742', 'D8B4257F', '79F4744F', '77D36AC8', 'E9916F80', '594EA233']",3,Survived
creature_7,"['x_60', 'y_12']",11,"['9DC3321C', '9E6B90C9', '7CFCD797', 'A6FD505E', '88D57712', 'BAB990CB', '07069615', '88C1902B', 'FB44013F', 'BE7DFCE4', '6D0F8929', 'A0E176FF', '121DBCB2', '63E2B478', '8FF90D82', '474C9887', 'F32B06E7', '912AEDA4', 'E527F022', '49676E02', 'B592A133', '6B142567', 'D8E56D8B', '9DC3321C']",3,Died
creature_8,"['x_93', 'y_114']",10,"['11F58F0D', 'A4F0FFB3', '00EF19E9', '3A27611E', '10F831B9', 'AE4D9C41', '0780BE62', '6353ADDD', '1C6ADAD3', '1198248F', '71B511BF', '767BE96C', '527B4AA4', '49676E02', 'FDCAA141', 'EADFEEFC', 'CEB29853', 'FAA78FC3', '0CD2D4C1', 'F25674D3', '7A3A463E', '76193CE5', '795D8140', '5875EEFD']",3,Survived
creature_9,"['x_77', 'y_106']",12,"['C651CA54', '2464C177', '4900D205', '6BB49A37', 'FDE74BFD', '1C6ADAD3', 'F73FE5ED', '6CE0292C', '8AD0F767', '7275713F', '65EF1839', '8CAF7A44', '912AEDA4', '19777CFD', '9F2AAF6D', 'FDCAA141', '7A3A463E', '36521AB7', '71B411BF', 'AF92D1AB', '1D770523', '4C5E8325', '3F7C3F0E', 'A496ABFF']",3,Survived
