,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_35', 'y_29']",42,"['70E7A8F9', 'ED00EE27', '6E6629E9', '97536A8B', '398538F0', '7158E30C', '310BA5F0', '1A0658C6', '3E707AFB', 'CED37AF9', '421FD0F6', '700D9AA0', '31AD7192', 'AD3C7D51', 'F68E4334', '68BDE117', '7300C5C4', 'D25A8218', '35F1D82D', '9DFFF374', '79B3E3CE', 'F56D0CE5', '3B951B04', '1DCCA7F9']",37,Died
creature_1,"['x_111', 'y_113']",10,"['843D6D41', '82510DED', '6F6B583E', 'F7269C2C', 'BE948B58', '148BB3D0', 'D7774606', 'E04F6B33', '6D70F992', '32EA3D99', '50008477', '3515223E', '23681639', '6E810E1A', '7E7D3A16', 'FBFD0655', '0ED10587', '31D68CD7', 'FF6C53F2', '9C4E4EAE', 'F0C0A0B0', 'B81CD5A5', '622987DF', '4409C73F']",37,Survived
creature_2,"['x_35', 'y_41']",10,"['43B34011', 'FF6125C5', '211B71E6', '2DAFEA9C', '394A2BA7', '5C9F5B8B', '1DCCA7F9', '8DC5BF52', '45D15DDA', '3A678B7B', 'CCE17E01', 'E47530CE', '67A10914', '5F1AA036', 'E95B15F5', '8B5352D1', '545D0D52', '0F16CE72', '3A66D717', 'D69402AC', '285E95B9', 'E7D5C8EF', 'F56D0CE5', '8A9DE4E2']",37,Died
creature_3,"['x_18', 'y_0']",10,"['30A226CA', 'D3D8FD08', '99F60285', '437F691A', '2A919B9F', '6D70F992', '027155CE', 'B917B97D', '3830F23C', '6E810E1A', '352B87C5', 'D35BC59B', '08609A74', 'F7269C2C', '1BF78A11', '5BBC635A', '50008477', 'E04F6B33', '23681639', '17EB80B8', '6DBA278C', '843D6D41', '14F5A2BB', 'D56449E0']",37,Died
creature_4,"['x_45', 'y_52']",12,"['80B2F9D2', 'AE0D29A3', '5779B169', '9737BD35', '97536A8B', '6DD7D235', '6E6629E9', '2BDED654', 'FCF20549', 'F48E288F', 'F2C1B02B', '70E7A8F9', '60FFE203', '3719B10E', '310BA5F0', 'C860106C', '7834F793', '5BE08B84', 'D69402AC', 'FAA2CED2', '55F8D353', '421FD0F6', '7300C5C4', '3B951B04']",37,Died
creature_5,"['x_82', 'y_58']",10,"['6D70F992', 'F7269C2C', 'E04F6B33', '74B2A540', '512CF997', '17EB80B8', 'CF0511AD', '0424CA80', '30A226CA', 'D35BC59B', 'BE948B58', '0ED10587', '292B67EF', 'F91B6E91', '99F60285', '4B3A6399', '352B87C5', '01760337', '370BA332', 'EB6C492D', '6E810E1A', 'A8B7A77B', '2A919B9F', '19DC08B9']",37,Survived
creature_6,"['x_95', 'y_103']",10,"['7DEE9EEC', '6E341EB8', 'A16DBA3D', 'BC1E2B91', '13E79610', 'E48CB874', 'D0C2E651', 'F8B3C5BE', 'DA68F3BE', 'F01D8CC0', '8F800EAB', 'ABB548D5', 'BC004C24', '1364C764', '95D8864A', '7DF55CB0', '06C09D1B', 'CAB6FCC5', '94EBA00D', '965B4C99', 'C926BEA1', '4B1BFD44', '93EF95EC', '3EC70FE0']",37,Survived
creature_7,"['x_83', 'y_102']",10,"['95B39C54', 'EB092048', '79E26353', 'B04838E4', '67C63670', '26B44D7B', '3FDCEF52', 'E81BA731', '06319E80', '2CD1C27E', 'E0D135CD', 'AF578011', '7AF58759', '19EDE354', '48D2AD62', 'D6B6904B', 'C33D3E64', '7761343F', 'EBE6C267', '9E8D9BD6', '32098670', '160F3CF7', '22E65B06', 'C6715A5F']",37,Survived
creature_8,"['x_98', 'y_40']",46,"['359DDB3A', 'E13DD781', '2B67FA2D', 'FE7B6B7A', '7557B544', 'B81CD5A5', '20D08D9F', '82510DED', '7E7D3A16', '4409C73F', '3A92397D', '4C16B5F6', '6EA417E0', '6F191C90', '35847A1E', 'E79E7F1C', 'FFDC28ED', '92AEEF7A', 'B8914E04', '146FEE8E', 'E1F0CCBD', 'AE047E54', 'A9D8997D', '622987DF']",37,Survived
creature_9,"['x_66', 'y_84']",10,"['92BC437F', '3830F23C', '133192FE', '9F5708FD', '1934B738', '3875B979', '278FC1D1', '62B4D2F0', 'D56449E0', '5ADB1A45', '19F85497', 'E55BA5F7', '66D35C83', '7E57851A', '8C7B6BEA', 'F5DEF99E', '7A76DE34', '5BBC635A', 'DEC8F315', '93FC3ECE', 'CB1EE4A6', 'ACDE3490', 'F7263667', '96445AAB']",37,Survived
