,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_127', 'y_69']",10,"['A7623D0C', 'F91E6DC6', '56C22A5C', '39E4008A', '9C174EC7', '70A3BEE6', 'DE88BE00', 'EF9CEAE0', '1980D03A', 'AAEB15FE', 'AB50013B', '1B5BC2B8', 'AF76400E', '1D317C90', '651A967C', '11CDA663', '9DDE910B', '7A4BDCD5', '33076942', '8FAE14F8', 'CF6052A7', '7FAAFB52', '7FFCBA98', 'E09E950A']",9,Survived
creature_1,"['x_108', 'y_33']",10,"['143CFE50', '5EEEB868', 'DB91ECD9', '21C3E18E', '59B5905C', '0DAC9D8D', '4BE4AC14', '8CCF6FC6', '37819018', '7CA2E378', '51E33499', '0ED08985', 'C0D1E902', '6D578E5B', '7C9B1A68', 'E4BDD248', '005E6042', '4BEC71D4', '54CF894D', '14CCDBA0', 'F2E3DF5D', '4F9C64CC', '6245F1BF', '8AD28DA3']",9,Survived
creature_2,"['x_93', 'y_5']",10,"['4F9C64CC', '0DAC9D8D', 'A6F7C2D9', '603E58A7', 'E4BDD248', '16A82C7F', 'D2A8C214', 'B82CC2E8', 'DCEC0B93', '42F07A33', 'C32B2D77', '0ED08985', '03539875', '7CA2E378', '08D81002', 'A6BD425B', '734A02E9', 'C367A053', '4D5191EB', 'E23C0746', '4BEC71D4', '5EEEB868', 'B9E7AA0E', '5901EE32']",9,Survived
creature_3,"['x_74', 'y_53']",16,"['E6965D13', 'FBBA7EF2', '909D8031', '6BACDBF0', '76E41FB2', 'D24BC2AB', 'F58D2DEE', 'EA3C862A', '64A240DA', '2AF2C1E8', '462D8BB4', '6E33BF10', 'A52FFC44', 'D0DF919F', 'F53E4B2A', '781B13B0', '422704C9', '2DBF6AE3', '4163B8EB', '1DD0B586', '22ADB939', '94B14325', '0386661B', '23859CE3']",9,Survived
creature_4,"['x_81', 'y_39']",10,"['8EEC8437', '50BD1016', 'A891E8EC', 'B87B6C83', 'FAD03943', '773ED85C', '2FFF55E7', '697FC54B', '005E6042', '51E33499', '87545478', 'D4EE72EF', 'DB91ECD9', '8A48A286', '7C9B1A68', '54CF894D', 'E8E2B36C', '102E2EDE', '86380147', 'D573654B', '227C3242', '14CCDBA0', '17433375', '15AB0C95']",9,Survived
creature_5,"['x_104', 'y_66']",10,"['41528354', 'A663BD2D', 'A3E04A40', '12772296', 'D194AF96', 'D779EFB7', 'E12D67CA', '6DE775CC', '10014520', '8CFBE30E', '44EB9851', '4952C164', 'F4C2B9B8', '7810954F', 'A681C3ED', '07CF31EE', 'CCFEC10A', '4A6BA347', '0FA878B0', '69413584', 'B82D38D4', '305DF2C4', 'DA4BF9FA', '8F5591E8']",9,Survived
creature_6,"['x_97', 'y_17']",10,"['D1205274', 'B2F8AE75', 'AC87F7DF', '710C2730', '773ED85C', '6FADC810', 'B5F016EE', '63B924DB', '99ACE7D4', '3D9F1595', '734A02E9', '87545478', 'B6070389', 'F6DC4B5E', 'D4EE72EF', 'E6B880BA', '2FFF55E7', 'B82CC2E8', 'E8E2B36C', '497093CB', 'DEE9DE9C', '981CB492', 'B95608C9', '39798B97']",9,Survived
creature_7,"['x_56', 'y_12']",17,"['6D578E5B', '3AC42D27', '1DD6EE2A', '378A4568', 'D715C06F', 'D5BDCA89', '49BAF4CB', '546E176D', '0BBFA115', '2FF3BA5D', 'EE03D17B', 'A34C5251', 'CA7C2949', '8F098587', '62A5677F', '5B4122FA', '94C2446F', '71ADF321', 'D2A8C214', '2E61C654', 'CB63DA8F', '6ED07213', '3DE4ABBE', '1FA366A6']",9,Died
creature_8,"['x_6', 'y_99']",10,"['F3488F45', '910B3B15', 'D3273B45', '0177855B', '5F5B95C6', 'DBCEE202', '49061F4D', '79932E6C', '8B03C895', 'B4FBFAEE', 'CF0075DE', '8FCA3627', '70553893', '22D9FF89', '1F991D61', '938D4A5B', 'F3700060', 'E8C669C1', 'FDE90383', '082187E8', '823BFD5B', 'FAA07861', '71256802', 'D151916F']",9,Died
creature_9,"['x_31', 'y_57']",10,"['D3273B45', '823BFD5B', '71256802', '0177855B', '4952C164', 'DBE76692', '090C4B11', '6DE77DCC', '4BF81CAC', '3E3F536B', '938D4A5B', '0F5591E8', 'F3488F45', '9C9E687F', '8B03C895', '305DF2C4', '1F991D61', '328A65D2', 'D151916F', '19A01930', 'AD447A97', '10014520', 'F493F430', '85D05E49']",9,Died
