,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_76', 'y_88']",54,"['DCAF1668', '675A5F27', 'F102EC9C', '1490F883', '4AE8C1D0', 'C8466766', 'F2BDDDA7', '9CC89CCE', '4BB4A7FB', '6F3BBD77', '1BC78031', 'B967A6F7', 'B8545A51', '39B981B3', '55665ADE', '5BE2F445', 'F73776A5', '737FD776', '2E20956D', '2A4EB9D9', 'F1A8635C', '53E588FA', '5CA9FA4A', 'AC8A378B']",45,Survived
creature_1,"['x_77', 'y_13']",10,"['C4F3F956', '4A5581C7', '0E5CD456', '47551683', '1C75DB8F', 'C6F08004', '9444BF49', 'FE7F1B1E', 'C21E6FB5', '4BF4C7F1', '0F1BB76A', '83989A3D', 'B57A6257', '61D04BF1', '2D0282EF', 'F3D0B670', 'A42B08B7', '37D5AFD3', '2EF35758', 'D40B866A', 'D2608063', '82B0887E', '8D08D8FC', '06C6245A']",45,Survived
creature_2,"['x_41', 'y_69']",10,"['5BE2F445', '248F63A9', '906B848E', '38EE9D3C', '8467F786', '5CFCCE25', '3EEC2508', 'D0696EF7', 'D8655378', '6F7B41E8', '778FC47C', '27DAB1F1', '9390CE98', '5254FFA1', '07EF6C3E', 'AC8A378B', 'BCD7C2E3', 'C6D419EF', 'B6C81E01', '421B5042', 'D446B0E1', '4BB4A7FB', 'C8F2069A', '2E20956D']",45,Died
creature_3,"['x_67', 'y_0']",10,"['806EA4EE', 'F554E3D6', '069ED9CE', '4F308557', '9D3DC71F', '7C7B8467', '2B58B238', '8C9CDBBB', '9775EEAA', '72C232DE', '4F0A2280', '339D1A75', '2D3F18A2', 'A1F809C4', '706C9A7B', '14793D6A', '7571F5C2', '82A971E0', 'EC72DB67', 'E53FDB77', '54A199E9', '97576792', '38539EB2', '86F0D141']",45,Survived
creature_4,"['x_34', 'y_41']",13,"['1E99BD67', 'AA96B638', 'E78330C3', 'D348A198', 'D6C8AF0D', '71D783EB', 'B346BA45', '8F225AE8', '3E5E5D09', '51A756D7', 'A23D3B15', 'CF9DC8DB', '41EEEC21', '365F578A', '38139798', 'B3E7F24F', '0A1F4507', '3CA3996A', 'B6F9B4B6', 'D7772ABF', '027B3045', '4FA3F74E', '7E9B82CD', 'FA827655']",45,Died
creature_5,"['x_66', 'y_0']",10,"['9D5AF544', '7A0AE30D', '4FA3F74E', '484AD0E5', 'A87A76D0', '0351AD17', '24694B2B', 'B63E3C8E', '740E52F4', '7E34EAAE', '7F12C314', '08F0B45E', '5A1A8448', '2640C6BC', '9B708CD1', 'DBE33862', 'CBF7B5D1', '263BB140', '376C6ED1', '34F28262', '138EEF11', 'A5DD452F', '1D4350E1', '6E2E5D40']",45,Survived
creature_6,"['x_28', 'y_79']",55,"['89AF3F8B', '8467F786', '3377D037', 'B3E7F24F', '7F12C314', 'D9A71508', '95D52D0F', '07EF6C3E', '4C823FD6', '4BB4A7FB', '5BE2F445', '301BAB50', '8F225AE8', 'C8007087', '71D783EB', '8B00B5EB', '6971F1D5', 'D095C35C', '14DB50DF', 'BCD7C2E3', '48327B76', 'BA155399', '3626D193', '95988D02']",45,Died
creature_7,"['x_58', 'y_59']",10,"['CE655E0D', '6950845F', '76178F2B', '0B9B1C25', 'B3F81954', '64A0A259', 'E255E177', '41A65C5D', 'D8FDB869', 'D1892393', 'EAC27C24', 'E41E8F47', '263BB140', '88995D01', '2640C6BC', 'B0A4A0D7', 'D6D98737', '5E331F8B', 'D77A46DE', '54F9AC9F', 'C72FF1A1', '7D9B85AA', 'B5720E49', '7CF754CC']",45,Died
creature_8,"['x_96', 'y_117']",10,"['CC3164F5', '6434C686', '8EB33925', '3626D193', 'DC87558D', '7571F5C2', '4A1689B2', 'B44F5FB4', 'E7D002D7', 'E5DCBB26', '193FD920', 'B720B73E', '02C57104', '61D0CBF1', '0A9CEF3D', 'C10A5257', 'A1F6A35E', '87086B3A', 'BA46B542', '4C823FD6', 'D91CE117', 'E53FDB77', '6377BCA7', 'F0745BA8']",45,Survived
creature_9,"['x_79', 'y_0']",10,"['5620CB5A', 'D7404104', 'B346BA45', '4C823FD6', 'BE7BA8CC', '3A3D657F', '82A971E0', '20A09F57', '0D335A29', 'E0177A06', '8F225AE8', '5AB4733C', '3626D193', '3CA3996A', '95988D02', 'BA46B542', '027B3045', '6971F1D5', '5BC5FED7', '95D52D0F', 'B63E3C8E', '4FA3F74E', '8A3C2795', '53BF31D3']",45,Survived
