,Coordinates,Oscillator_period,Genome,Age,status
creature_0,"['x_4', 'y_0']",11,"['069B7C2D', '6D2F134C', 'F3F4F519', 'BA5F6251', '9206DFF4', 'EE291172', '093AB653', 'A05982DF', '77B869A2', '22D75C40', '1F0A0C92', 'EBE96660', 'CF5E68EA', 'F69914C6', '8868FC1F', '9604A507', 'B0D42F70', 'D0633E86', '18459BFB', 'F90365C2', 'F52855AC', '1452BE8B', 'F52C9CEB', '8CFFCA8D']",1,Died
creature_1,"['x_72', 'y_68']",10,"['E1B6C395', 'CD798882', '6915774F', 'D53FD269', '60FE2257', '63F3F71D', '0C100ED8', '72C91D91', 'F59D58DD', '19F245EB', '8F388738', 'E8A06700', '05254B80', 'F6D37786', '3ACDC57D', 'E9CB72D8', '3A98B227', '1F2D047D', 'C2ACA32A', '677297E2', '2BC44DFD', '399ABC41', '33B1EA07', '43598BB0']",1,Survived
creature_2,"['x_117', 'y_50']",10,"['016FA21F', 'D2FFD462', '075DE903', '1B88641E', '519711A7', 'F17169B1', 'F516CCB8', '06867122', 'A6DF9A51', '5EAD2D4E', 'EF416D72', '165902B3', '1A526DCB', 'CCA62A4F', '6C1E90F2', 'A59FEE30', '87A044F0', 'BD635F51', '476889C2', '12B21D70', '7641C77F', 'E5AF3F46', 'CBF0F033', 'D4C07F5B']",1,Survived
creature_3,"['x_93', 'y_10']",10,"['2A0E6FA1', '250DA767', 'CCA0403B', '56B0634F', '8868FC1F', '6D782290', '450F9B25', '0F62A5E4', 'B9A9C4FC', '07E25AAE', '144AA1AB', 'C86A48CF', 'D0B51A21', 'A39DC477', '05256424', '0866A318', 'DB013A39', 'F52C9CEB', 'F3FF9B18', '255393B3', 'DB143B18', 'F6372D93', 'B35AAF0B', 'F90365C2']",1,Survived
creature_4,"['x_27', 'y_98']",10,"['C94C15D3', 'E03BB367', 'CEF88285', '19AEE21F', '06BD2364', '8C1CFA86', 'BC272175', '8302E304', '3844CF0C', 'CD20847C', '5B968288', 'E7A87E48', '737F3834', '9DE01E75', '5BCF5A22', 'AE3DB6CB', 'F7174E4C', '0E693BF1', '4EF4A91A', '39081592', '900AF2BA', '74BA86AF', '4E2664E8', '9859BE63']",1,Died
creature_5,"['x_52', 'y_15']",10,"['779F8F89', '1CD361FD', 'D1826188', '6E1A8062', '14CC71FC', '46EDBA27', '89031541', 'DDA3A4BD', '0A549BD4', '5945FFFC', 'E8789FEA', '70724778', '804B48B3', '7BC729E5', 'DF6F01B2', '5F9DB00C', '45BDD8FD', 'D2E8F4E8', 'C1A34245', '76BD5136', '046C19D1', '7444B74C', '66E50B74', '0CC7C1B5']",1,Died
creature_6,"['x_34', 'y_124']",10,"['1B6D8F7D', '92D1289D', '00BB5CE5', '2152BEDB', '0CC7C1B5', '900AF2BA', '66E50B74', '804B48B3', '74BA86AF', '5F9DB00C', 'EBBA30FB', 'D2E8F4E8', 'EDA2AF57', '4E2664E8', '65A206D6', '672BB418', '3964ED54', 'CD20847C', 'EC232D83', '0A549BD4', 'C03E16BB', '0E693BF1', '3844CF0C', '19AEE21F']",1,Died
creature_7,"['x_108', 'y_105']",10,"['BD635F51', '075DE903', 'A59FEE30', '1B88641E', 'E1B05773', '35B5BC83', 'C717EB1A', '06867122', '8361D349', 'AC031763', '6E26A2C0', 'EAB314F8', 'A468E9D2', '01A525F4', '1A526DCB', 'D750C8AA', '86BA864F', 'F852D67A', '016FA21F', '0C100ED8', '07E25AAE', '50032903', '87A044F0', '185C8D9C']",1,Survived
creature_8,"['x_6', 'y_67']",10,"['81BA0519', '62A6F642', '242165C1', '6F7F7506', '75F2CB76', '75D7BF43', '41C889AA', 'E8651E4E', '6591C1A2', '144AA1AB', '1401D5FC', 'C9CA3CDB', '2DD9E58F', 'FDA98162', '79A1CF12', 'A58D57F4', 'ABCF16D9', '4115398C', '6252C5F9', 'E7CB99F9', 'ECF9FF27', 'AEB94E43', 'FD0E375E', '828F3E0D']",1,Died
creature_9,"['x_0', 'y_7']",10,"['A7043A4F', '3FC23587', '79A448A6', '6B614058', 'EBCED928', '66E50B74', 'BFAECB2E', '465AAAD6', '11FA133B', 'FF0D7332', '684C4886', '0CC7C1B5', '075FC12E', 'D5B176B9', 'CE553C60', 'D3BCC731', 'C8EE7208', '2CA7BCBB', 'B510B59F', '7108FD66', 'D0965F40', 'DCB409E0', '1819CC5E', '6769A616']",1,Died
creature_10,"['x_89', 'y_1']",10,"['AE3B76DD', 'CEAE9D2D', 'C03E16BB', '7B282C36', 'A1FFA495', 'CB986E27', '3C91C053', 'DE1BF743', '0457995B', '9BE484EA', 'A8E26748', '81E2905C', '465AAAD6', 'FE26DC39', 'DC604591', 'E126C408', '3D641C9A', '3964ED54', '92D1289D', 'FB16B13C', 'A7BB60F2', 'C5EEA721', '18769538', '00CA4F5E']",1,Survived
creature_11,"['x_74', 'y_65']",10,"['3C731AEF', 'B5C2F0B8', 'AA5CD185', '169DCE0A', '3810A979', 'EB3E7CA2', 'E8A06700', '19F245EB', '6915774F', 'DA2DD5EF', 'BA0A0204', '694CA962', 'D53FD269', 'E8789FEA', 'ABE7D347', 'F59D58DD', '62130B43', '8E20F3B7', '8F388738', 'A1364339', '2D6ACD25', '43598BB0', '858E64A7', 'C94EDBEB']",1,Survived
creature_12,"['x_7', 'y_4']",11,"['E95BCC47', '7444B74C', '2152BEDB', 'CE377D29', '043E0763', '1B587365', '58B22715', 'E5B56358', 'B3E05C8A', 'F959C4B7', '5C36F45D', '95DB4D65', '0CFBFC40', '870463E8', '4CE21E33', 'F1ABFE60', 'AE170733', 'C26DEE08', 'A6F2223D', 'E691B661', '24D0290E', 'DE649662', '1C011D92', 'C7EB28C5']",1,Died
creature_13,"['x_25', 'y_1']",10,"['2ACFA485', '3964ED54', '093AB653', '92D2F8C7', 'D3D8C5CF', '14CC71FC', 'CD7AE02E', '18459BFB', '8E91D6EF', '46EDBA27', 'D0975F40', '670BB418', '700842F9', '5F9DB00C', '6BE6F5EB', '5945FFFC', '45BDD8FD', 'AA717288', '2152BEDB', '89031541', '7444B74C', 'A6E5A07B', 'CF68328B', 'EBBA30FB']",1,Died
creature_14,"['x_6', 'y_95']",10,"['4267B473', 'D32AA86F', 'B9A9C4FC', 'F6372D93', '8868FC1F', '7D69A339', '50B32B03', 'A1364339', '09D8A4D4', 'BA0A0204', '4DD80809', 'E21E327C', 'A446CEDC', 'D0A5BCA3', 'D02D2973', 'C1099820', 'DB143B18', 'AA5CD185', '53F50288', '62130B43', '7A380156', '81F1F831', 'C3F89432', '8E20F3B7']",1,Died
creature_15,"['x_40', 'y_114']",10,"['24C4E8D3', '3B6CDD3D', 'A7043A4F', '436F4DFF', 'BE85E453', '97B47B0E', 'DCB409E0', 'A6F2223D', '10F75B0D', '11FA133B', '075FC12E', 'BD172896', '7159BE0A', '8AE53103', '7108FD66', '785B2066', '7FCB340A', '2ACFA485', '4D28630C', 'A61D4958', '2CA7BCBB', '381BF216', '684C4886', '1819CC5E']",1,Died
creature_16,"['x_8', 'y_115']",11,"['55B30E22', '56B0634F', 'D31DF838', '723D31BE', '4267B473', 'BC2E8487', 'C3F89432', '86BA864F', '07E25AAE', 'DCA0403B', 'B9A9C4FC', '89F1F839', 'DB143B18', 'AEB94E43', 'A39DC477', '6D782280', '6AA6A731', '8868FC1F', 'C1099820', 'EA5CD185', '05256424', 'F90365C2', '6252C5F9', 'D0B51A21']",1,Died
creature_17,"['x_49', 'y_114']",10,"['3C473BE1', '6C1E90E2', 'D3756C24', 'C5CAC6C5', 'F516CCB8', 'B2C5C78D', 'EAB314F8', '12F81FC7', 'D7D15B29', 'D750C8AA', '01A525F4', '855F9D4D', '3FFE8AC4', '86BA864F', '519711A7', 'F3DC2112', 'F852D67A', '3808912F', '46E77BC4', '8D199357', '0C100E98', '57657BF5', 'E9CB72D8', '6F72F5E3']",1,Died
creature_18,"['x_114', 'y_52']",10,"['2A0E6FA1', 'ACEF073A', 'D3716C24', '6591C5A2', 'B32A90C9', 'AEB94E43', '38E463EC', 'DC604591', '41C889AA', '144AA1AB', 'A8E26748', 'C86A48CF', '4B892E21', '3D641C9A', '07E25AAE', '276E97D2', 'AE659A60', 'DA9769FC', 'AE3B76DD', 'F852D67A', 'A7BB60F2', '00CA4F5E', 'FA36AABD', 'DD3FB4C5']",1,Survived
creature_19,"['x_100', 'y_38']",11,"['0CA25983', '242165C1', '04D9D09E', '6591C1A2', 'E195157A', '0457995B', '0CFE9F52', 'C5EEA721', '6242E20A', 'FD0E375E', '00CA4F5E', 'AEB94E43', 'DE1BF743', 'F852D67A', '9BE484EA', '4B892E21', '2DD9E58F', '01A525F4', 'BB753059', 'E126C408', '4F61E8B1', '7D48E438', '81E2905C', 'DC604591']",1,Survived
creature_20,"['x_68', 'y_26']",10,"['C0A4E824', '2D530EAA', 'A61D4958', '2152BEDB', '1C1E0AE1', '70724778', 'C3D03CAC', '72851E28', '8AE53303', '0C972DCC', 'E95BCC47', 'A6F2223D', 'A05982DF', 'F17169B1', '3CB57D47', 'E691B661', '50C4C6FE', '7444B74C', '2B57E783', 'DE649662', '2ACFA485', '5C36F45D', 'DEBAD46B', 'A59FEE30']",1,Survived
creature_21,"['x_55', 'y_7']",10,"['F6D37786', 'CF68328B', '3C473BE1', '28C541D8', 'C7EB28C5', 'E9CB72D8', '7808912F', 'ABCF16D9', 'D3756C24', '4992572E', '9C011D92', 'F852D67A', '0C972DCC', 'EAB314F8', '185C8D9C', '07E25BAE', 'C1A34245', '4B00A278', 'DEEC1B54', 'E1B05773', 'B2C5C78D', '95E7D014', '46E77BC4', '0761674E']",1,Died
